resource,key,service,id_field,name_field,id_prefix,arn_field,arn_type,arn_separator,global_resource,has_arn,strategy,arn_quality,asset_class,parent_params
connectparticipant.transcript,connectparticipant.transcript,connectparticipant,Id,,,,,/,false,true,parent,derived,child,ConnectionToken
customer-profiles.domain,customer-profiles.domain,customer-profiles,DomainName,,,,,/,false,true,parent,derived,child,DomainName
customer-profiles.match,customer-profiles.match,customer-profiles,MatchId,,,,,/,false,true,parent,derived,child,DomainName
customer-profiles.workflow,customer-profiles.workflow,customer-profiles,WorkflowId,,,,,/,false,true,parent,derived,child,"DomainName,WorkflowId"
databrew.job_run,databrew.job_run,databrew,Name,,,,,/,false,true,parent,derived,child,"Name,RunId"
databrew.recipe_version,databrew.recipe_version,databrew,Name,,,,,/,false,true,parent,derived,child,Name
datapipeline.object,datapipeline.object,datapipeline,id,,,,,/,false,true,parent,derived,child,"objectIds,pipelineId"
datapipeline.pipeline_definition,datapipeline.pipeline_definition,datapipeline,id,,,,,/,false,true,parent,derived,child,pipelineId
datazone.asset,datazone.asset,datazone,id,,,,,/,false,true,parent,derived,child,"domainIdentifier,identifier"
datazone.asset_type,datazone.asset_type,datazone,name,,,,,/,false,true,parent,derived,child,"domainIdentifier,identifier"
datazone.data_source,datazone.data_source,datazone,DomainId,,,,,/,false,true,parent,derived,child,"domainIdentifier,projectIdentifier"
datazone.data_source_run,datazone.data_source_run,datazone,id,,,,,/,false,true,parent,derived,child,"domainIdentifier,identifier"
datazone.environment,datazone.environment,datazone,DomainId,,,,,/,false,true,parent,derived,child,"domainIdentifier,projectIdentifier"
datazone.environment_blueprint,datazone.environment_blueprint,datazone,id,,,,,/,false,true,parent,derived,child,"domainIdentifier,identifier"
datazone.environment_blueprint_configuration,datazone.environment_blueprint_configuration,datazone,DomainId,,,,,/,false,true,parent,derived,child,domainIdentifier
datazone.environment_profile,datazone.environment_profile,datazone,DomainId,,,,,/,false,true,parent,derived,child,domainIdentifier
datazone.form_type,datazone.form_type,datazone,DomainIdentifier,,,,,/,false,true,parent,derived,child,"domainIdentifier,formTypeIdentifier"
datazone.glossary,datazone.glossary,datazone,id,,,,,/,false,true,parent,derived,child,"domainIdentifier,identifier"
datazone.glossary_term,datazone.glossary_term,datazone,id,,,,,/,false,true,parent,derived,child,"domainIdentifier,identifier"
datazone.group_profile,datazone.group_profile,datazone,DomainId,,,,,/,false,true,parent,derived,child,"domainIdentifier,groupIdentifier"
datazone.listing,datazone.listing,datazone,id,,,,,/,false,true,parent,derived,child,"domainIdentifier,identifier"
datazone.project,datazone.project,datazone,DomainId,,,,,/,false,true,parent,derived,child,domainIdentifier
datazone.project_membership,datazone.project_membership,datazone,DomainIdentifier,,,,,/,false,true,parent,derived,child,"domainIdentifier,projectIdentifier"
datazone.subscription,datazone.subscription,datazone,id,,,,,/,false,true,parent,derived,child,"domainIdentifier,identifier"
datazone.subscription_grant,datazone.subscription_grant,datazone,id,,,,,/,false,true,parent,derived,child,"domainIdentifier,identifier"
datazone.subscription_request_detail,datazone.subscription_request_detail,datazone,id,,,,,/,false,true,parent,derived,child,"domainIdentifier,identifier"
datazone.subscription_target,datazone.subscription_target,datazone,DomainId,,,,,/,false,true,parent,derived,child,"domainIdentifier,environmentIdentifier"
datazone.user_profile,datazone.user_profile,datazone,DomainId,,,,,/,false,true,parent,derived,child,"domainIdentifier,userIdentifier"
dax.parameter,dax.parameter,dax,ParameterName,,,,,/,false,true,parent,derived,child,ParameterGroupName
devicefarm.vpce_configuration,devicefarm.vpce_configuration,devicefarm,vpceConfigurationName,,,,,/,false,true,parent,derived,child,arn
ds.certificate,ds.certificate,ds,CertificateId,,,,,/,false,true,parent,derived,child,"CertificateId,DirectoryId"
ds.domain_controller,ds.domain_controller,ds,DomainControllerId,,,,,/,false,true,parent,derived,child,DirectoryId
ds.region,ds.region,ds,RegionName,,,,,/,false,true,parent,derived,child,DirectoryId
ds.schema_extension,ds.schema_extension,ds,SchemaExtensionId,,,,,/,false,true,parent,derived,child,DirectoryId
ds.setting,ds.setting,ds,Name,,,,,/,false,true,parent,derived,child,DirectoryId
ds.shared_directory,ds.shared_directory,ds,SharedDirectoryId,,,,,/,false,true,parent,derived,child,OwnerDirectoryId
emr.step,emr.step,emr,Id,,,,,/,false,true,parent,derived,child,ClusterId
emr-serverless.job_run,emr-serverless.job_run,emr-serverless,jobRunId,,,,,/,false,true,parent,derived,child,"applicationId,jobRunId"
es.vpc_endpoint,es.vpc_endpoint,es,VpcEndpointId,,,,,/,false,true,parent,derived,child,VpcEndpointIds
finspace.kx_environment,finspace.kx_environment,finspace,name,,,,,/,false,true,parent,derived,child,environmentId
finspace-data.permission_group,finspace-data.permission_group,finspace-data,permissionGroupId,,,,,/,false,true,parent,derived,child,permissionGroupId
finspace-data.permission_groups_by_user,finspace-data.permission_groups_by_user,finspace-data,name,,,,,/,false,true,parent,derived,child,userId
finspace-data.user,finspace-data.user,finspace-data,userId,,,,,/,false,true,parent,derived,child,userId
fms.discovered_resource,fms.discovered_resource,fms,Name,,,,,/,false,true,parent,derived,child,MemberAccountIds
gamelift.game_server,gamelift.game_server,gamelift,GameServerId,,,,,/,false,true,parent,derived,child,"GameServerGroupName,GameServerId"
gamelift.instance,gamelift.instance,gamelift,InstanceId,,,,,/,false,true,parent,derived,child,FleetId
glue.column_statistics_task_run,glue.column_statistics_task_run,glue,ColumnStatisticsTaskRunId,,,,,/,false,true,parent,derived,child,ColumnStatisticsTaskRunId
glue.table,glue.table,glue,Id,,,,,/,false,true,parent,derived,child,DatabaseName
grafana.workspace_authentication,grafana.workspace_authentication,grafana,name,,,,,/,false,true,parent,derived,child,workspaceId
greengrass.connectivity_info,greengrass.connectivity_info,greengrass,Id,,,,,/,false,true,parent,derived,child,ThingName
greengrassv2.component,greengrassv2.component,greengrassv2,componentName,,,,,/,false,true,parent,derived,child,arn
greengrassv2.connectivity_info,greengrassv2.connectivity_info,greengrassv2,id,,,,,/,false,true,parent,derived,child,thingName
groundstation.contact,groundstation.contact,groundstation,contactId,,,,,/,false,true,parent,derived,child,contactId
groundstation.ephemeri,groundstation.ephemeri,groundstation,name,,,,,/,false,true,parent,derived,child,ephemerisId
groundstation.ephemeride,groundstation.ephemeride,groundstation,name,,,,,/,false,true,parent,derived,child,"endTime,satelliteId,startTime"
guardduty.detector,guardduty.detector,guardduty,Id,,,,,/,false,true,parent,derived,child,DetectorId
guardduty.organization_configuration,guardduty.organization_configuration,guardduty,Name,,,,,/,false,true,parent,derived,child,DetectorId
iam.group_policy,iam.group_policy,iam,PolicyName,,,,,/,false,true,parent,derived,child,GroupName
iam.user_policy,iam.user_policy,iam,PolicyName,,,,,/,false,true,parent,derived,child,UserName
identitystore.group,identitystore.group,identitystore,GroupId,,,,,/,false,true,parent,derived,child,IdentityStoreId
identitystore.user,identitystore.user,identitystore,UserId,,,,,/,false,true,parent,derived,child,IdentityStoreId
imagebuilder.lifecycle_execution,imagebuilder.lifecycle_execution,imagebuilder,lifecycleExecutionId,,,,,/,false,true,parent,derived,child,lifecycleExecutionId
imagebuilder.workflow_execution,imagebuilder.workflow_execution,imagebuilder,workflowExecutionId,,,,,/,false,true,parent,derived,child,workflowExecutionId
imagebuilder.workflow_step_execution,imagebuilder.workflow_step_execution,imagebuilder,name,,,,,/,false,true,parent,derived,child,stepExecutionId
iot.audit_mitigation_actions_task,iot.audit_mitigation_actions_task,iot,id,,,,,/,false,true,parent,derived,child,taskId
iot.index,iot.index,iot,indexName,,,,,/,false,true,parent,derived,child,indexName
iot.policy_version,iot.policy_version,iot,policyVersionId,,,,,/,false,true,parent,derived,child,"policyName,policyVersionId"
iotsitewise.action,iotsitewise.action,iotsitewise,actionId,,,,,/,false,true,parent,derived,child,actionId
iotsitewise.asset_composite_model,iotsitewise.asset_composite_model,iotsitewise,assetCompositeModelId,,,,,/,false,true,parent,derived,child,"assetCompositeModelId,assetId"
iotsitewise.asset_model_composite_model,iotsitewise.asset_model_composite_model,iotsitewise,assetModelCompositeModelId,,,,,/,false,true,parent,derived,child,"assetModelCompositeModelId,assetModelId"
iotsitewise.asset_model_property,iotsitewise.asset_model_property,iotsitewise,id,,,,,/,false,true,parent,derived,child,assetModelId
iotsitewise.asset_property,iotsitewise.asset_property,iotsitewise,id,,,,,/,false,true,parent,derived,child,"assetId,propertyId"
iotthingsgraph.flow_template,iotthingsgraph.flow_template,iotthingsgraph,Id,,,,,/,false,true,parent,derived,child,id
iottwinmaker.component,iottwinmaker.component,iottwinmaker,componentName,,,,,/,false,true,parent,derived,child,"entityId,workspaceId"
iottwinmaker.metadata_transfer_job,iottwinmaker.metadata_transfer_job,iottwinmaker,metadataTransferJobId,,,,,/,false,true,parent,derived,child,metadataTransferJobId
iottwinmaker.property,iottwinmaker.property,iottwinmaker,propertyName,,,,,/,false,true,parent,derived,child,"entityId,workspaceId"
iotwireless.multicast_groups_by_fuota_task,iotwireless.multicast_groups_by_fuota_task,iotwireless,Id,,,,,/,false,true,parent,derived,child,Id
ivs.stream,ivs.stream,ivs,streamId,,,,,/,false,true,parent,derived,child,channelArn
ivs-realtime.participant,ivs-realtime.participant,ivs-realtime,participantId,,,,,/,false,true,parent,derived,child,"participantId,sessionId,stageArn"
ivs-realtime.participant_event,ivs-realtime.participant_event,ivs-realtime,name,,,,,/,false,true,parent,derived,child,"participantId,sessionId,stageArn"
kendra.access_control_configuration,kendra.access_control_configuration,kendra,Id,,,,,/,false,true,parent,derived,child,IndexId
kendra.experience,kendra.experience,kendra,Id,,,,,/,false,true,parent,derived,child,IndexId
kendra.featured_results_set,kendra.featured_results_set,kendra,FeaturedResultsSetId,,,,,/,false,true,parent,derived,child,"FeaturedResultsSetId,IndexId"
kendra.query,kendra.query,kendra,QueryId,,,,,/,false,true,parent,derived,child,IndexId
kendra.query_suggestion,kendra.query_suggestion,kendra,Id,,,,,/,false,true,parent,derived,child,"IndexId,QueryText"
kendra.query_suggestions_block_list,kendra.query_suggestions_block_list,kendra,Id,,,,,/,false,true,parent,derived,child,IndexId
kendra.thesauri,kendra.thesauri,kendra,Id,,,,,/,false,true,parent,derived,child,IndexId
kinesisanalyticsv2.application_version,kinesisanalyticsv2.application_version,kinesisanalyticsv2,ApplicationVersionId,,,,,/,false,true,parent,derived,child,"ApplicationName,ApplicationVersionId"
kms.grant,kms.grant,kms,GrantId,,,,,/,false,true,parent,derived,child,KeyId
launch-wizard.deployment_event,launch-wizard.deployment_event,launch-wizard,name,,,,,/,false,true,parent,derived,child,deploymentId
launch-wizard.workload,launch-wizard.workload,launch-wizard,workloadName,,,,,/,false,true,parent,derived,child,workloadName
lex-models.import,lex-models.import,lex-models,importId,,,,,/,false,true,parent,derived,child,importId
lex-runtime.session,lex-runtime.session,lex-runtime,sessionId,,,,,/,false,true,parent,derived,child,"botAlias,botName,userId"
lexv2-models.test_set_generation,lexv2-models.test_set_generation,lexv2-models,testSetGenerationId,,,,,/,false,true,parent,derived,child,testSetGenerationId
license-manager.license_conversion_task,license-manager.license_conversion_task,license-manager,LicenseConversionTaskId,,,,,/,false,true,parent,derived,child,LicenseConversionTaskId
location.geofence,location.geofence,location,GeofenceId,,,,,/,false,true,parent,derived,child,"CollectionName,GeofenceId"
location.place,location.place,location,Name,,,,,/,false,true,parent,derived,child,"IndexName,PlaceId"
location.tracker_consumer,location.tracker_consumer,location,TrackerName,,,,,/,false,true,parent,derived,child,TrackerName
logs.account_policy,logs.account_policy,logs,AccountId,,,,,/,false,true,parent,derived,child,policyType
logs.subscription_filter,logs.subscription_filter,logs,FilterName,,,,,/,false,true,parent,derived,child,logGroupName
lookoutequipment.label,lookoutequipment.label,lookoutequipment,LabelId,,,,,/,false,true,parent,derived,child,"LabelGroupName,LabelId"
m2.application_version,m2.application_version,m2,name,,,,,/,false,true,parent,derived,child,"applicationId,applicationVersion"
m2.data_set,m2.data_set,m2,dataSetName,,,,,/,false,true,parent,derived,child,applicationId
m2.data_set_detail,m2.data_set_detail,m2,name,,,,,/,false,true,parent,derived,child,"applicationId,dataSetName"
m2.deployment,m2.deployment,m2,ApplicationId,,,,,/,false,true,parent,derived,child,applicationId
macie2.classification_job,macie2.classification_job,macie2,name,,,,,/,false,true,parent,derived,child,jobId
macie2.classification_scope,macie2.classification_scope,macie2,id,,,,,/,false,true,parent,derived,child,id
macie2.finding,macie2.finding,macie2,id,,,,,/,false,true,parent,derived,child,findingIds
macie2.sensitivity_inspection_template,macie2.sensitivity_inspection_template,macie2,sensitivityInspectionTemplateId,,,,,/,false,true,parent,derived,child,id
managedblockchain.proposal,managedblockchain.proposal,managedblockchain,ProposalId,,,,,/,false,true,parent,derived,child,"NetworkId,ProposalId"
managedblockchain-query.asset_contract,managedblockchain-query.asset_contract,managedblockchain-query,name,,,,,/,false,true,parent,derived,child,contractIdentifier
managedblockchain-query.transaction,managedblockchain-query.transaction,managedblockchain-query,transactionId,,,,,/,false,true,parent,derived,child,"network,transactionHash"
marketplace-agreement.agreement,marketplace-agreement.agreement,marketplace-agreement,agreementId,,,,,/,false,true,parent,derived,child,agreementId
medialive.input_device_transfer,medialive.input_device_transfer,medialive,Id,,,,,/,false,true,parent,derived,child,TransferType
medialive.multiplexprogram,medialive.multiplexprogram,medialive,ProgramName,,,,,/,false,true,parent,derived,child,MultiplexId
mediapackagev2.channel_policy,mediapackagev2.channel_policy,mediapackagev2,ChannelGroupName,,,,,/,false,true,parent,derived,child,"ChannelGroupName,ChannelName"
mediapackagev2.origin_endpoint_policy,mediapackagev2.origin_endpoint_policy,mediapackagev2,ChannelGroupName,,,,,/,false,true,parent,derived,child,"ChannelGroupName,ChannelName,OriginEndpointName"
mediatailor.channel_policy,mediatailor.channel_policy,mediatailor,ChannelName,,,,,/,false,true,parent,derived,child,ChannelName
mediatailor.program,mediatailor.program,mediatailor,ProgramName,,,,,/,false,true,parent,derived,child,"ChannelName,ProgramName"
memorydb.parameter,memorydb.parameter,memorydb,Name,,,,,/,false,true,parent,derived,child,ParameterGroupName
mgh.created_artifact,mgh.created_artifact,mgh,Name,,,,,/,false,true,parent,derived,child,"MigrationTaskName,ProgressUpdateStream"
mgh.migration_task,mgh.migration_task,mgh,MigrationTaskName,,,,,/,false,true,parent,derived,child,"MigrationTaskName,ProgressUpdateStream"
