resource,key,service,id_field,name_field,id_prefix,arn_field,arn_type,arn_separator,global_resource,has_arn,strategy,arn_quality,asset_class,parent_params
access-analyzer-finding,accessanalyzer.access_analyzer_finding,accessanalyzer,id,resourceType,,,,/,false,true,parent,derived,child,analyzerArn
account.alternate_contact,account.alternate_contact,account,Name,,,,,/,false,true,parent,derived,child,AlternateContactType
amp.scraper,amp.scraper,amp,scraperId,,,,,/,false,true,parent,derived,child,scraperId
amp.workspace,amp.workspace,amp,workspaceId,,,,,/,false,true,parent,derived,child,workspaceId
amplify.artifact,amplify.artifact,amplify,artifactId,,,,,/,false,true,parent,derived,child,"appId,branchName,jobId"
amplifyuibuilder.codegen_job,amplifyuibuilder.codegen_job,amplifyuibuilder,id,,,,,/,false,true,parent,derived,child,"appId,environmentName,id"
amplifyuibuilder.component,amplifyuibuilder.component,amplifyuibuilder,AppId,,,,,/,false,true,parent,derived,child,"appId,environmentName"
amplifyuibuilder.form,amplifyuibuilder.form,amplifyuibuilder,AppId,,,,,/,false,true,parent,derived,child,"appId,environmentName"
amplifyuibuilder.theme,amplifyuibuilder.theme,amplifyuibuilder,AppId,,,,,/,false,true,parent,derived,child,"appId,environmentName"
apigateway.authorizer,apigateway.authorizer,apigateway,RestApiId,,,,,/,false,true,parent,derived,child,restApiId
apigateway.method,apigateway.method,apigateway,RestApiId,,,,,/,false,true,parent,derived,child,"httpMethod,resourceId,restApiId"
apigateway.request_validator,apigateway.request_validator,apigateway,RestApiId,,,,,/,false,true,parent,derived,child,restApiId
rest-resource,apigateway.resource,apigateway,id,path,,,,/,false,true,parent,derived,child,restApiId
apigatewayv2.integration,apigatewayv2.integration,apigatewayv2,ApiId,,,,,/,false,true,parent,derived,child,ApiId
apigatewayv2.route,apigatewayv2.route,apigatewayv2,ApiId,,,,,/,false,true,parent,derived,child,ApiId
appconfig.deployment,appconfig.deployment,appconfig,ApplicationId,,,,,/,false,true,parent,derived,child,"ApplicationId,EnvironmentId"
appconfig.environment,appconfig.environment,appconfig,ApplicationId,,,,,/,false,true,parent,derived,child,ApplicationId
appconfig.hosted_configuration_version,appconfig.hosted_configuration_version,appconfig,ApplicationId,,,,,/,false,true,parent,derived,child,"ApplicationId,ConfigurationProfileId"
application-insights.component,application-insights.component,application-insights,ComponentName,,,,,/,false,true,parent,derived,child,"ComponentName,ResourceGroupName"
application-insights.problem,application-insights.problem,application-insights,Id,,,,,/,false,true,parent,derived,child,ProblemId
application-insights.workload,application-insights.workload,application-insights,WorkloadId,,,,,/,false,true,parent,derived,child,"ComponentName,ResourceGroupName,WorkloadId"
apprunner.operation,apprunner.operation,apprunner,Id,,,,,/,false,true,parent,derived,child,ServiceArn
auditmanager.assessment_control_insights_by_control_domain,auditmanager.assessment_control_insights_by_control_domain,auditmanager,id,,,,,/,false,true,parent,derived,child,"assessmentId,controlDomainId"
auditmanager.assessment_framework_share_request,auditmanager.assessment_framework_share_request,auditmanager,id,,,,,/,false,true,parent,derived,child,requestType
auditmanager.control_domain_insights_by_assessment,auditmanager.control_domain_insights_by_assessment,auditmanager,id,,,,,/,false,true,parent,derived,child,assessmentId
auditmanager.control_insights_by_control_domain,auditmanager.control_insights_by_control_domain,auditmanager,id,,,,,/,false,true,parent,derived,child,controlDomainId
auditmanager.evidence,auditmanager.evidence,auditmanager,id,,,,,/,false,true,parent,derived,child,"assessmentId,controlSetId,evidenceFolderId,evidenceId"
auditmanager.evidence_by_evidence_folder,auditmanager.evidence_by_evidence_folder,auditmanager,id,,,,,/,false,true,parent,derived,child,"assessmentId,controlSetId,evidenceFolderId"
auditmanager.evidence_folder,auditmanager.evidence_folder,auditmanager,id,,,,,/,false,true,parent,derived,child,"assessmentId,controlSetId,evidenceFolderId"
auditmanager.evidence_folders_by_assessment,auditmanager.evidence_folders_by_assessment,auditmanager,id,,,,,/,false,true,parent,derived,child,assessmentId
auditmanager.evidence_folders_by_assessment_control,auditmanager.evidence_folders_by_assessment_control,auditmanager,id,,,,,/,false,true,parent,derived,child,"assessmentId,controlId,controlSetId"
backup.backup_selection,backup.backup_selection,backup,Id,,,,,/,false,true,parent,derived,child,BackupPlanId
backup.restore_testing_selection,backup.restore_testing_selection,backup,RestoreTestingPlanName,,,,,/,false,true,parent,derived,child,RestoreTestingPlanName
backup-gateway.virtual_machine,backup-gateway.virtual_machine,backup-gateway,Name,,,,,/,false,true,parent,derived,child,ResourceArn
bcm-data-exports.execution,bcm-data-exports.execution,bcm-data-exports,ExecutionId,,,,,/,false,true,parent,derived,child,"ExecutionId,ExportArn"
bcm-data-exports.table,bcm-data-exports.table,bcm-data-exports,TableName,,,,,/,false,true,parent,derived,child,TableName
chime.account,chime.account,chime,AccountId,,,,,/,false,true,parent,derived,child,AccountId
chime.bot,chime.bot,chime,BotId,,,,,/,false,true,parent,derived,child,"AccountId,BotId"
chime.phone_number,chime.phone_number,chime,PhoneNumberId,,,,,/,false,true,parent,derived,child,PhoneNumberId
chime.phone_number_order,chime.phone_number_order,chime,PhoneNumberOrderId,,,,,/,false,true,parent,derived,child,PhoneNumberOrderId
chime.room,chime.room,chime,RoomId,,,,,/,false,true,parent,derived,child,"AccountId,RoomId"
chime.user,chime.user,chime,UserId,,,,,/,false,true,parent,derived,child,"AccountId,UserId"
chime-sdk-identity.app_instance_user_endpoint,chime-sdk-identity.app_instance_user_endpoint,chime-sdk-identity,Name,,,,,/,false,true,parent,derived,child,"AppInstanceUserArn,EndpointId"
chime-sdk-media-pipelines.speaker_search_task,chime-sdk-media-pipelines.speaker_search_task,chime-sdk-media-pipelines,SpeakerSearchTaskId,,,,,/,false,true,parent,derived,child,"Identifier,SpeakerSearchTaskId"
chime-sdk-media-pipelines.voice_tone_analysis_task,chime-sdk-media-pipelines.voice_tone_analysis_task,chime-sdk-media-pipelines,VoiceToneAnalysisTaskId,,,,,/,false,true,parent,derived,child,"Identifier,VoiceToneAnalysisTaskId"
chime-sdk-meetings.attendee,chime-sdk-meetings.attendee,chime-sdk-meetings,AttendeeId,,,,,/,false,true,parent,derived,child,"AttendeeId,MeetingId"
chime-sdk-messaging.channel_membership_for_app_instance_user,chime-sdk-messaging.channel_membership_for_app_instance_user,chime-sdk-messaging,Name,,,,,/,false,true,parent,derived,child,"AppInstanceUserArn,ChannelArn,ChimeBearer"
chime-sdk-messaging.channel_moderated_by_app_instance_user,chime-sdk-messaging.channel_moderated_by_app_instance_user,chime-sdk-messaging,Name,,,,,/,false,true,parent,derived,child,"AppInstanceUserArn,ChannelArn,ChimeBearer"
chime-sdk-messaging.sub_channel,chime-sdk-messaging.sub_channel,chime-sdk-messaging,SubChannelId,,,,,/,false,true,parent,derived,child,"ChannelArn,ChimeBearer"
chime-sdk-voice.phone_number,chime-sdk-voice.phone_number,chime-sdk-voice,PhoneNumberId,,,,,/,false,true,parent,derived,child,PhoneNumberId
chime-sdk-voice.phone_number_order,chime-sdk-voice.phone_number_order,chime-sdk-voice,PhoneNumberOrderId,,,,,/,false,true,parent,derived,child,PhoneNumberOrderId
chime-sdk-voice.proxy_session,chime-sdk-voice.proxy_session,chime-sdk-voice,ProxySessionId,,,,,/,false,true,parent,derived,child,"ProxySessionId,VoiceConnectorId"
chime-sdk-voice.sip_rule,chime-sdk-voice.sip_rule,chime-sdk-voice,SipRuleId,,,,,/,false,true,parent,derived,child,SipRuleId
chime-sdk-voice.speaker_search_task,chime-sdk-voice.speaker_search_task,chime-sdk-voice,SpeakerSearchTaskId,,,,,/,false,true,parent,derived,child,"SpeakerSearchTaskId,VoiceConnectorId"
chime-sdk-voice.voice_tone_analysis_task,chime-sdk-voice.voice_tone_analysis_task,chime-sdk-voice,VoiceToneAnalysisTaskId,,,,,/,false,true,parent,derived,child,"IsCaller,VoiceConnectorId,VoiceToneAnalysisTaskId"
cleanrooms.collaboration_privacy_budget,cleanrooms.collaboration_privacy_budget,cleanrooms,id,,,,,/,false,true,parent,derived,child,"collaborationIdentifier,privacyBudgetType"
cleanrooms.privacy_budget,cleanrooms.privacy_budget,cleanrooms,id,,,,,/,false,true,parent,derived,child,"membershipIdentifier,privacyBudgetType"
cleanrooms.protected_query,cleanrooms.protected_query,cleanrooms,id,,,,,/,false,true,parent,derived,child,"membershipIdentifier,protectedQueryIdentifier"
cleanrooms.schema,cleanrooms.schema,cleanrooms,name,,,,,/,false,true,parent,derived,child,"collaborationIdentifier,name"
cleanrooms.schema_analysis_rule,cleanrooms.schema_analysis_rule,cleanrooms,name,,,,,/,false,true,parent,derived,child,"collaborationIdentifier,name"
cloudcontrol.resource,cloudcontrol.resource,cloudcontrol,Identifier,,,,,/,false,true,parent,derived,child,"Identifier,TypeName"
cloudcontrol.resource_request_status,cloudcontrol.resource_request_status,cloudcontrol,Identifier,,,,,/,false,true,parent,derived,child,RequestToken
clouddirectory.facet,clouddirectory.facet,clouddirectory,Name,,,,,/,false,true,parent,derived,child,"Name,SchemaArn"
clouddirectory.schema_as_json,clouddirectory.schema_as_json,clouddirectory,Name,,,,,/,false,true,parent,derived,child,SchemaArn
cloudfront.cache_policy_config,cloudfront.cache_policy_config,cloudfront,Name,,,,,/,false,true,parent,derived,child,Id
cloudfront.field_level_encryption,cloudfront.field_level_encryption,cloudfront,Id,,,,,/,false,true,parent,derived,child,Id
cloudfront.origin_access_control,cloudfront.origin_access_control,cloudfront,Id,,,,,/,false,true,parent,derived,child,Id
cloudfront.origin_request_policy_config,cloudfront.origin_request_policy_config,cloudfront,Name,,,,,/,false,true,parent,derived,child,Id
codecatalyst.dev_environment,codecatalyst.dev_environment,codecatalyst,id,,,,,/,false,true,parent,derived,child,"id,projectName,spaceName"
codecatalyst.dev_environment_session,codecatalyst.dev_environment_session,codecatalyst,id,,,,,/,false,true,parent,derived,child,"devEnvironmentId,projectName,spaceName"
codecatalyst.event_log,codecatalyst.event_log,codecatalyst,id,,,,,/,false,true,parent,derived,child,"endTime,spaceName,startTime"
codecatalyst.project,codecatalyst.project,codecatalyst,name,,,,,/,false,true,parent,derived,child,"name,spaceName"
codecatalyst.source_repository,codecatalyst.source_repository,codecatalyst,name,,,,,/,false,true,parent,derived,child,"name,projectName,spaceName"
codecatalyst.source_repository_branch,codecatalyst.source_repository_branch,codecatalyst,name,,,,,/,false,true,parent,derived,child,"projectName,sourceRepositoryName,spaceName"
codecatalyst.space,codecatalyst.space,codecatalyst,name,,,,,/,false,true,parent,derived,child,name
codecatalyst.workflow,codecatalyst.workflow,codecatalyst,id,,,,,/,false,true,parent,derived,child,"id,projectName,spaceName"
codecatalyst.workflow_run,codecatalyst.workflow_run,codecatalyst,id,,,,,/,false,true,parent,derived,child,"id,projectName,spaceName"
codecommit.approval_rule_template,codecommit.approval_rule_template,codecommit,approvalRuleTemplateId,,,,,/,false,true,parent,derived,child,approvalRuleTemplateName
codecommit.comment,codecommit.comment,codecommit,commentId,,,,,/,false,true,parent,derived,child,commentId
codecommit.commit,codecommit.commit,codecommit,commitId,,,,,/,false,true,parent,derived,child,"commitId,repositoryName"
codecommit.pull_request,codecommit.pull_request,codecommit,pullRequestId,,,,,/,false,true,parent,derived,child,pullRequestId
codecommit.repository_trigger,codecommit.repository_trigger,codecommit,name,,,,,/,false,true,parent,derived,child,repositoryName
codedeploy.deployment,codedeploy.deployment,codedeploy,deploymentId,,,,,/,false,true,parent,derived,child,deploymentId
codeguru-reviewer.repository_association,codeguru-reviewer.repository_association,codeguru-reviewer,Name,,,,,/,false,true,parent,derived,child,AssociationArn
codeguru-security.finding,codeguru-security.finding,codeguru-security,id,,,,,/,false,true,parent,derived,child,scanName
codeguru-security.scan,codeguru-security.scan,codeguru-security,scanName,,,,,/,false,true,parent,derived,child,scanName
codepipeline.action_execution,codepipeline.action_execution,codepipeline,actionExecutionId,,,,,/,false,true,parent,derived,child,pipelineName
codepipeline.action_type,codepipeline.action_type,codepipeline,id,,,,,/,false,true,parent,derived,child,"provider,version"
codepipeline.job_detail,codepipeline.job_detail,codepipeline,id,,,,,/,false,true,parent,derived,child,jobId
codepipeline.pipeline_execution,codepipeline.pipeline_execution,codepipeline,pipelineExecutionId,,,,,/,false,true,parent,derived,child,"pipelineExecutionId,pipelineName"
codepipeline.third_party_job_detail,codepipeline.third_party_job_detail,codepipeline,id,,,,,/,false,true,parent,derived,child,"clientToken,jobId"
codestar-connections.host,codestar-connections.host,codestar-connections,Name,,,,,/,false,true,parent,derived,child,HostArn
cognito-identity.identity,cognito-identity.identity,cognito-identity,IdentityId,,,,,/,false,true,parent,derived,child,IdentityPoolId
cognito-idp.group,cognito-idp.group,cognito-idp,GroupName,,,,,/,false,true,parent,derived,child,"GroupName,UserPoolId"
cognito-idp.resource_server,cognito-idp.resource_server,cognito-idp,Identifier,,,,,/,false,true,parent,derived,child,"Identifier,UserPoolId"
cognito-idp.user,cognito-idp.user,cognito-idp,Username,,,,,/,false,true,parent,derived,child,AccessToken
cognito-sync.dataset,cognito-sync.dataset,cognito-sync,DatasetName,,,,,/,false,true,parent,derived,child,"DatasetName,IdentityId,IdentityPoolId"
compute-optimizer.effective_recommendation_preference,compute-optimizer.effective_recommendation_preference,compute-optimizer,name,,,,,/,false,true,parent,derived,child,resourceArn
connect.approved_origin,connect.approved_origin,connect,InstanceId,,,,,/,false,true,parent,derived,child,InstanceId
connect.security_key,connect.security_key,connect,InstanceId,,,,,/,false,true,parent,derived,child,InstanceId
connectcases.field_option,connectcases.field_option,connectcases,name,,,,,/,false,true,parent,derived,child,"domainId,fieldId"
