key,service,resource_name,cfn_type,c7n_name,spec_resource_type,discovery_id,operation,items_for,hops,collectable,id_field,id_field_source,cfn_primary_id,arn_field,arn_type,arn_separator,id_prefix,global_resource,taggable,inspectable,sources,asset_class,identity_rule,parent_params,arn_strategy,arn_quality,tier,name_field
apigateway.domain_name_access_association,apigateway,DomainNameAccessAssociation,AWS::ApiGateway::DomainNameAccessAssociation,,,aws.apigateway.get_domain_name_access_associations,get_domain_name_access_associations,{{ response.items }},0,yes,DomainNameAccessAssociationArn,cfn,DomainNameAccessAssociationArn,DomainNameAccessAssociationArn,,,,,yes,yes,cfn+spec,asset,own_id,,field,real,excluded,
apigateway.domain_name_v2,apigateway,DomainNameV2,AWS::ApiGateway::DomainNameV2,,,,,,,no,DomainNameArn,cfn,DomainNameArn,DomainNameArn,,,,,yes,yes,cfn,artifact,none,,none,none,excluded,
apigateway.gateway_response,apigateway,GatewayResponse,AWS::ApiGateway::GatewayResponse,,,,,,,no,Id,cfn,Id,,,,,,no,yes,cfn,artifact,none,,none,none,excluded,
apigateway.model,apigateway,Model,AWS::ApiGateway::Model,,,,,,,no,RestApiId,cfn,"RestApiId,Name",,,,,,no,yes,cfn,artifact,none,,none,none,excluded,
apigateway.rest_account,apigateway,rest-account,,rest-account,,,,,,no,account_id,c7n,,,,/,,false,,yes,c7n,artifact,none,,none,none,excluded,account_id
apigateway.usage_plan_key,apigateway,UsagePlanKey,AWS::ApiGateway::UsagePlanKey,,,,,,,no,Id,cfn,Id,,,,,,no,yes,cfn,artifact,none,,none,none,excluded,
apigatewayv2.api_gateway_managed_overrides,apigatewayv2,ApiGatewayManagedOverrides,AWS::ApiGatewayV2::ApiGatewayManagedOverrides,,,,,,,no,Id,cfn,Id,,,,,,no,no,cfn,artifact,none,,none,none,excluded,
apigatewayv2.api_mapping,apigatewayv2,ApiMapping,AWS::ApiGatewayV2::ApiMapping,,,,,,,no,ApiMappingId,cfn,"ApiMappingId,DomainName",,,,,,no,yes,cfn,artifact,none,,none,none,excluded,
apigatewayv2.authorizer,apigatewayv2,Authorizer,AWS::ApiGatewayV2::Authorizer,,,,,,,no,AuthorizerId,cfn,"AuthorizerId,ApiId",,,,,,no,yes,cfn,artifact,none,,none,none,excluded,
apigatewayv2.deployment,apigatewayv2,Deployment,AWS::ApiGatewayV2::Deployment,,,,,,,no,ApiId,cfn,"ApiId,DeploymentId",,,,,,no,yes,cfn,artifact,none,,none,none,excluded,
apigatewayv2.integration_response,apigatewayv2,IntegrationResponse,AWS::ApiGatewayV2::IntegrationResponse,,,,,,,no,ApiId,cfn,"ApiId,IntegrationId,IntegrationResponseId",,,,,,no,yes,cfn,artifact,none,,none,none,excluded,
apigatewayv2.model,apigatewayv2,Model,AWS::ApiGatewayV2::Model,,,,,,,no,ApiId,cfn,"ApiId,ModelId",,,,,,no,yes,cfn,artifact,none,,none,none,excluded,
apigatewayv2.portal,apigatewayv2,portal,,,,aws.apigatewayv2.list_portals,list_portals,{{ response.Items }},0,yes,PortalArn,spec-qualified,,PortalArn,,,,,,yes,spec,asset,own_id,,field,real,excluded,
apigatewayv2.portal_product,apigatewayv2,portal_product,,,,aws.apigatewayv2.list_portal_products,list_portal_products,{{ response.Items }},0,yes,PortalProductArn,spec-qualified,,PortalProductArn,,,,,,yes,spec,asset,own_id,,field,real,excluded,
apigatewayv2.route_response,apigatewayv2,RouteResponse,AWS::ApiGatewayV2::RouteResponse,,,,,,,no,ApiId,cfn,"ApiId,RouteId,RouteResponseId",,,,,,no,yes,cfn,artifact,none,,none,none,excluded,
apigatewayv2.routing_rule,apigatewayv2,RoutingRule,AWS::ApiGatewayV2::RoutingRule,,,,,,,no,RoutingRuleArn,cfn,RoutingRuleArn,RoutingRuleArn,,,,,no,yes,cfn,artifact,none,,none,none,excluded,
appconfig.account_setting,appconfig,account_setting,,,,aws.appconfig.get_account_settings,get_account_settings,,0,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
appconfig.tags_for_resource,appconfig,tags_for_resource,,,,aws.appconfig.list_tags_for_resource,list_tags_for_resource,,0,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
appfabric.tags_for_resource,appfabric,tags_for_resource,,,,aws.appfabric.list_tags_for_resource,list_tags_for_resource,{{ response.tags }},0,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
appflow.tags_for_resource,appflow,tags_for_resource,,,,aws.appflow.list_tags_for_resource,list_tags_for_resource,,0,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
appintegrations.tags_for_resource,appintegrations,tags_for_resource,,,,aws.appintegrations.list_tags_for_resource,list_tags_for_resource,,0,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
application-autoscaling.predictive_scaling_forecast,application-autoscaling,predictive_scaling_forecast,,,,aws.application-autoscaling.get_predictive_scaling_forecast,get_predictive_scaling_forecast,{{ response.LoadForecast }},0,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
application-autoscaling.tags_for_resource,application-autoscaling,tags_for_resource,,,,aws.application-autoscaling.list_tags_for_resource,list_tags_for_resource,,0,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
application-insights.component_configuration_recommendation,application-insights,component_configuration_recommendation,,,,aws.application-insights.describe_component_configuration_recommendation,describe_component_configuration_recommendation,,0,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
application-insights.configuration_history,application-insights,configuration_history,,,,aws.application-insights.list_configuration_history,list_configuration_history,{{ response.EventList }},0,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
application-insights.observation,application-insights,observation,,,,aws.application-insights.describe_observation,describe_observation,,0,yes,Id,spec-bare,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
application-insights.problem_observation,application-insights,problem_observation,,,,aws.application-insights.describe_problem_observations,describe_problem_observations,,0,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
application-insights.tags_for_resource,application-insights,tags_for_resource,,,,aws.application-insights.list_tags_for_resource,list_tags_for_resource,{{ response.Tags }},0,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
application-signals.audit_finding,application-signals,audit_finding,,,,aws.application-signals.list_audit_findings,list_audit_findings,{{ response.AuditFindings }},0,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
application-signals.entity_event,application-signals,entity_event,,,,aws.application-signals.list_entity_events,list_entity_events,{{ response.ChangeEvents }},0,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
application-signals.grouping_attribute_definition,application-signals,grouping_attribute_definition,,,,aws.application-signals.list_grouping_attribute_definitions,list_grouping_attribute_definitions,{{ response.GroupingAttributeDefinitions }},0,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
application-signals.service,application-signals,service,,,,aws.application-signals.get_service,get_service,{{ response.LogGroupReferences }},1,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
application-signals.service_dependency,application-signals,service_dependency,,,,aws.application-signals.list_service_dependencies,list_service_dependencies,{{ response.ServiceDependencies }},1,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
application-signals.service_dependent,application-signals,service_dependent,,,,aws.application-signals.list_service_dependents,list_service_dependents,{{ response.ServiceDependents }},1,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
application-signals.service_level_objective,application-signals,service_level_objective,,,,aws.application-signals.get_service_level_objective,get_service_level_objective,,0,yes,Arn,spec-bare,,Arn,,,,,,yes,spec,asset,own_id,,field,real,excluded,
application-signals.service_level_objective_exclusion_window,application-signals,service_level_objective_exclusion_window,,,,aws.application-signals.list_service_level_objective_exclusion_windows,list_service_level_objective_exclusion_windows,{{ response.ExclusionWindows }},0,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
application-signals.service_operation,application-signals,service_operation,,,,aws.application-signals.list_service_operations,list_service_operations,{{ response.ServiceOperations }},1,yes,Name,spec-bare,,,service-operation,,,,,yes,spec,asset,own_id,,construct,real,excluded,
application-signals.service_state,application-signals,service_state,,,,aws.application-signals.list_service_states,list_service_states,{{ response.ServiceStates }},0,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
application-signals.tags_for_resource,application-signals,tags_for_resource,,,,aws.application-signals.list_tags_for_resource,list_tags_for_resource,{{ response.Tags }},0,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
application-autoscaling.scalable_target,applicationautoscaling,ScalableTarget,AWS::ApplicationAutoScaling::ScalableTarget,,,,,,,no,ResourceId,cfn,"ResourceId,ScalableDimension,ServiceNamespace",,,,,,no,yes,cfn,artifact,none,,none,none,excluded,
application-autoscaling.scaling_policy,applicationautoscaling,ScalingPolicy,AWS::ApplicationAutoScaling::ScalingPolicy,,,,,,,no,Arn,cfn,"Arn,ScalableDimension",Arn,,,,,no,yes,cfn,artifact,none,,none,none,excluded,
application-insights.application,applicationinsights,Application,AWS::ApplicationInsights::Application,,,,,,,no,ApplicationARN,cfn,ApplicationARN,ApplicationARN,,,,,yes,yes,cfn,artifact,none,,none,none,excluded,
application-signals.discovery,applicationsignals,Discovery,AWS::ApplicationSignals::Discovery,,,,,,,no,AccountId,cfn,AccountId,,,,,,no,yes,cfn,artifact,none,,none,none,excluded,
application-signals.grouping_configuration,applicationsignals,GroupingConfiguration,AWS::ApplicationSignals::GroupingConfiguration,,,,,,,no,AccountId,cfn,AccountId,,,,,,no,yes,cfn,artifact,none,,none,none,excluded,
appmesh.tags_for_resource,appmesh,tags_for_resource,,,,aws.appmesh.list_tags_for_resource,list_tags_for_resource,{{ response.tags }},0,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
approved.instance,approved,instance,,,,aws.approved.describe_instances,describe_instances,{{ response.Reservations[].Instances }},0,yes,InstanceId,spec-qualified,,,instance,,,,,yes,spec,asset,own_id,,construct,real,excluded,
apprunner.tags_for_resource,apprunner,tags_for_resource,,,,aws.apprunner.list_tags_for_resource,list_tags_for_resource,{{ response.Tags }},0,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
appstream.application_entitlement_association,appstream,ApplicationEntitlementAssociation,AWS::AppStream::ApplicationEntitlementAssociation,,,,,,,no,StackName,cfn,"StackName,EntitlementName,ApplicationIdentifier",,,,,,no,yes,cfn,artifact,none,,none,none,excluded,
appstream.entitlement,appstream,Entitlement,AWS::AppStream::Entitlement,,,,,,,no,StackName,cfn,"StackName,Name",,,,,,no,yes,cfn,artifact,none,,none,none,excluded,
appstream.image,appstream,image,,,,aws.appstream.describe_images,describe_images,{{ response.Images }},0,yes,Arn,spec-bare,,Arn,,,,,,yes,spec,artifact,none,,none,none,excluded,
appstream.stack_fleet_association,appstream,StackFleetAssociation,AWS::AppStream::StackFleetAssociation,,,,,,,no,FleetName,cfn,"FleetName,StackName",,,,,,no,yes,cfn,artifact,none,,none,none,excluded,
appstream.stack_user_association,appstream,StackUserAssociation,AWS::AppStream::StackUserAssociation,,,,,,,no,StackName,cfn,"StackName,UserName,AuthenticationType",,,,,,no,yes,cfn,artifact,none,,none,none,excluded,
appstream.user,appstream,User,AWS::AppStream::User,,,,,,,no,UserName,cfn,"UserName,AuthenticationType",Arn,,,,,no,yes,cfn,artifact,none,,none,none,excluded,
appsync.api,appsync,Api,AWS::AppSync::Api,,,aws.appsync.list_apis,list_apis,{{ response.apis }},0,yes,ApiArn,cfn,ApiArn,ApiArn,,,,,yes,yes,cfn+spec,asset,own_id,,field,real,excluded,
appsync.api_cache,appsync,ApiCache,AWS::AppSync::ApiCache,,,,,,,no,Id,cfn,Id,,,,,,no,no,cfn,artifact,none,,none,none,excluded,
appsync.api_key,appsync,ApiKey,AWS::AppSync::ApiKey,,,,,,,no,ApiKeyId,cfn,ApiKeyId,Arn,,,,,no,no,cfn,artifact,none,,none,none,excluded,
appsync.channel_namespace,appsync,ChannelNamespace,AWS::AppSync::ChannelNamespace,,,,,,,no,ChannelNamespaceArn,cfn,ChannelNamespaceArn,ChannelNamespaceArn,,,,,yes,yes,cfn,artifact,none,,none,none,excluded,
appsync.data_source,appsync,DataSource,AWS::AppSync::DataSource,,,,,,,no,DataSourceArn,cfn,DataSourceArn,DataSourceArn,,,,,no,yes,cfn,artifact,none,,none,none,excluded,
appsync.domain_name_api_association,appsync,DomainNameApiAssociation,AWS::AppSync::DomainNameApiAssociation,,,,,,,no,ApiAssociationIdentifier,cfn,ApiAssociationIdentifier,,,,,,no,yes,cfn,artifact,none,,none,none,excluded,
appsync.function_configuration,appsync,FunctionConfiguration,AWS::AppSync::FunctionConfiguration,,,,,,,no,FunctionArn,cfn,FunctionArn,FunctionArn,,,,,no,yes,cfn,artifact,none,,none,none,excluded,
appsync.graph_ql_schema,appsync,GraphQLSchema,AWS::AppSync::GraphQLSchema,,,,,,,no,Id,cfn,Id,,,,,,no,no,cfn,artifact,none,,none,none,excluded,
appsync.resolver,appsync,Resolver,AWS::AppSync::Resolver,,,,,,,no,ResolverArn,cfn,ResolverArn,ResolverArn,,,,,no,yes,cfn,artifact,none,,none,none,excluded,
appsync.source_api_association,appsync,SourceApiAssociation,AWS::AppSync::SourceApiAssociation,,,,,,,no,AssociationArn,cfn,AssociationArn,AssociationArn,,,,,no,yes,cfn,artifact,none,,none,none,excluded,
apptest.test_case,apptest,TestCase,AWS::AppTest::TestCase,,,,,,,no,TestCaseId,cfn,TestCaseId,TestCaseArn,,,,,yes,yes,cfn,artifact,none,,none,none,excluded,
aps.anomaly_detector,aps,AnomalyDetector,AWS::APS::AnomalyDetector,,,,,,,no,Arn,cfn,Arn,Arn,,,,,yes,yes,cfn,artifact,none,,none,none,excluded,
aps.resource_policy,aps,ResourcePolicy,AWS::APS::ResourcePolicy,,,,,,,no,WorkspaceArn,cfn,WorkspaceArn,,,,,,no,yes,cfn,artifact,none,,none,none,excluded,
aps.rule_groups_namespace,aps,RuleGroupsNamespace,AWS::APS::RuleGroupsNamespace,,,,,,,no,Arn,cfn,Arn,Arn,,,,,yes,yes,cfn,artifact,none,,none,none,excluded,
aps.scraper,aps,Scraper,AWS::APS::Scraper,,,,,,,no,Arn,cfn,Arn,Arn,,,,,yes,yes,cfn,artifact,none,,none,none,excluded,
aps.workspace,aps,Workspace,AWS::APS::Workspace,,,,,,,no,Arn,cfn,Arn,Arn,,,,,yes,yes,cfn,artifact,none,,none,none,excluded,
arc-region-switch.plan,arc-region-switch,plan,,,,aws.arc-region-switch.get_plan,get_plan,,1,yes,arn,spec-bare,,arn,,,,,,yes,spec,asset,own_id,,field,real,excluded,
arc-region-switch.plan_evaluation_status,arc-region-switch,plan_evaluation_statu,,,,aws.arc-region-switch.get_plan_evaluation_status,get_plan_evaluation_status,{{ response.warnings }},1,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
arc-region-switch.plan_execution,arc-region-switch,plan_execution,,,,aws.arc-region-switch.get_plan_execution,get_plan_execution,{{ response.stepStates }},1,yes,name,spec-bare,,,plan-execution,,,,,yes,spec,asset,own_id,,construct,real,excluded,
arc-region-switch.plan_execution_event,arc-region-switch,plan_execution_event,,,,aws.arc-region-switch.list_plan_execution_events,list_plan_execution_events,{{ response.items }},1,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
arc-region-switch.plan_in_region,arc-region-switch,plan_in_region,,,,aws.arc-region-switch.get_plan_in_region,get_plan_in_region,,1,yes,arn,spec-bare,,arn,,,,,,yes,spec,asset,own_id,,field,real,excluded,
arc-region-switch.plans_in_region,arc-region-switch,plans_in_region,,,,aws.arc-region-switch.list_plans_in_region,list_plans_in_region,{{ response.plans }},0,yes,arn,spec-bare,,arn,,,,,,yes,spec,asset,own_id,,field,real,excluded,
arc-region-switch.route53_health_check,arc-region-switch,route53_health_check,,,,aws.arc-region-switch.list_route53_health_checks,list_route53_health_checks,{{ response.healthChecks }},1,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
arc-region-switch.tags_for_resource,arc-region-switch,tags_for_resource,,,,aws.arc-region-switch.list_tags_for_resource,list_tags_for_resource,,0,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
arc-zonal-shift.autoshift,arc-zonal-shift,autoshift,,,,aws.arc-zonal-shift.list_autoshifts,list_autoshifts,{{ response.items }},0,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
arc-zonal-shift.autoshift_observer_notification_status,arc-zonal-shift,autoshift_observer_notification_statu,,,,aws.arc-zonal-shift.get_autoshift_observer_notification_status,get_autoshift_observer_notification_status,,0,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
arc-zonal-shift.zonal_autoshift_configuration,arczonalshift,ZonalAutoshiftConfiguration,AWS::ARCZonalShift::ZonalAutoshiftConfiguration,,,,,,,no,ResourceIdentifier,cfn,ResourceIdentifier,,,,,,no,yes,cfn,artifact,none,,none,none,excluded,
artifact.account_setting,artifact,account_setting,,,,aws.artifact.get_account_settings,get_account_settings,,0,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
artifact.customer_agreement,artifact,customer_agreement,,,,aws.artifact.list_customer_agreements,list_customer_agreements,{{ response.customerAgreements }},0,yes,arn,spec-bare,,arn,,,,,,yes,spec,asset,own_id,,field,real,excluded,
artifact.report,artifact,report,,,,aws.artifact.get_report,get_report,,0,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
artifact.report_metadata,artifact,report_metadata,,,,aws.artifact.get_report_metadata,get_report_metadata,,0,yes,arn,spec-bare,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
artifact.term_for_report,artifact,term_for_report,,,,aws.artifact.get_term_for_report,get_term_for_report,,0,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
ask.skill,ask,Skill,Alexa::ASK::Skill,,,,,,,no,Id,cfn,Id,,,,,,no,no,cfn,artifact,none,,none,none,excluded,
athena.prepared_statement,athena,PreparedStatement,AWS::Athena::PreparedStatement,,,,,,,no,StatementName,cfn,"StatementName,WorkGroup",,,,,,no,yes,cfn,artifact,none,,none,none,excluded,
auditmanager.assessment_report,auditmanager,assessment_report,,,,aws.auditmanager.list_assessment_reports,list_assessment_reports,{{ response.assessmentReports }},0,yes,id,spec-bare,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
auditmanager.control_domain_insight,auditmanager,control_domain_insight,,,,aws.auditmanager.list_control_domain_insights,list_control_domain_insights,{{ response.controlDomainInsights }},0,yes,id,spec-bare,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
auditmanager.insight,auditmanager,insight,,,,aws.auditmanager.get_insights,get_insights,,0,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
auditmanager.tags_for_resource,auditmanager,tags_for_resource,,,,aws.auditmanager.list_tags_for_resource,list_tags_for_resource,,0,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
autoscaling.lifecycle_hook,autoscaling,LifecycleHook,AWS::AutoScaling::LifecycleHook,,,,,,,no,AutoScalingGroupName,cfn,"AutoScalingGroupName,LifecycleHookName",,,,,,no,yes,cfn,artifact,none,,none,none,excluded,
autoscaling.notification_configuration,autoscaling,notification_configuration,,,,aws.autoscaling.describe_notification_configurations,describe_notification_configurations,{{ response.NotificationConfigurations }},0,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
autoscaling.warm_pool,autoscaling,WarmPool,AWS::AutoScaling::WarmPool,,,,,,,no,AutoScalingGroupName,cfn,AutoScalingGroupName,,,,,,no,yes,cfn,artifact,none,,none,none,excluded,
autoscaling-plans.scaling_plan,autoscalingplans,ScalingPlan,AWS::AutoScalingPlans::ScalingPlan,,,,,,,no,Id,cfn,Id,,,,,,no,no,cfn,artifact,none,,none,none,excluded,
awsexternalanthropic.workspace,awsexternalanthropic,Workspace,AWS::AWSExternalAnthropic::Workspace,,,,,,,no,Arn,cfn,Arn,Arn,,,,,yes,yes,cfn,artifact,none,,none,none,excluded,
b2bi.tags_for_resource,b2bi,tags_for_resource,,,,aws.b2bi.list_tags_for_resource,list_tags_for_resource,{{ response.Tags }},0,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
backup.logically_air_gapped_backup_vault,backup,LogicallyAirGappedBackupVault,AWS::Backup::LogicallyAirGappedBackupVault,,,,,,,no,BackupVaultName,cfn,BackupVaultName,BackupVaultArn,,,,,yes,yes,cfn,artifact,none,,none,none,excluded,
backup.protected_resource,backup,protected_resource,,,backup_protected_resource,aws.backup.list_protected_resources,list_protected_resources,{{ response.Results }},0,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
