key,service,resource_name,cfn_type,c7n_name,spec_resource_type,discovery_id,operation,items_for,hops,collectable,id_field,id_field_source,cfn_primary_id,arn_field,arn_type,arn_separator,id_prefix,global_resource,taggable,inspectable,sources,asset_class,identity_rule,parent_params,arn_strategy,arn_quality,tier,name_field
accessanalyzer.access_preview,accessanalyzer,access_preview,,,,aws.accessanalyzer.get_access_preview,get_access_preview,,0,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
accessanalyzer.policy_generation,accessanalyzer,policy_generation,,,,aws.accessanalyzer.list_policy_generations,list_policy_generations,{{ response.policyGenerations }},0,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
accessanalyzer.tags_for_resource,accessanalyzer,tags_for_resource,,,,aws.accessanalyzer.list_tags_for_resource,list_tags_for_resource,,0,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
account.account,account,account,,account,,,,,,no,account_id,c7n,,,,/,,true,,yes,c7n,artifact,none,,none,none,excluded,account_name
account.contact_information,account,contact_information,,,,aws.account.get_contact_information,get_contact_information,,0,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
acm.account,acm,Account,AWS::CertificateManager::Account,,,,,,,no,AccountId,cfn,AccountId,,,,,,no,yes,cfn,artifact,none,,none,none,excluded,
acm.account_configuration,acm,account_configuration,,,,aws.acm.get_account_configuration,get_account_configuration,,0,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
acm.acme_domain_validation,acm,AcmeDomainValidation,AWS::CertificateManager::AcmeDomainValidation,,,,,,,no,Arn,cfn,Arn,Arn,,,,,yes,yes,cfn,artifact,none,,none,none,excluded,
acm.acme_endpoint,acm,AcmeEndpoint,AWS::CertificateManager::AcmeEndpoint,,,,,,,no,AcmeEndpointArn,cfn,AcmeEndpointArn,AcmeEndpointArn,,,,,yes,yes,cfn,artifact,none,,none,none,excluded,
acm.acme_external_account_binding,acm,AcmeExternalAccountBinding,AWS::CertificateManager::AcmeExternalAccountBinding,,,,,,,no,AcmeExternalAccountBindingArn,cfn,AcmeExternalAccountBindingArn,AcmeExternalAccountBindingArn,,,,,yes,yes,cfn,artifact,none,,none,none,excluded,
acm-pca.certificate,acmpca,Certificate,AWS::ACMPCA::Certificate,,,,,,,no,Arn,cfn,"Arn,CertificateAuthorityArn",Arn,,,,,no,yes,cfn,artifact,none,,none,none,excluded,
acm-pca.certificate_authority,acmpca,CertificateAuthority,AWS::ACMPCA::CertificateAuthority,,,aws.acmpca.list_certificate_authorities,list_certificate_authorities,{{ response.CertificateAuthorities }},0,yes,Arn,cfn,Arn,Arn,,,,,yes,yes,cfn+spec,asset,own_id,,field,real,excluded,
acm-pca.certificate_authority_activation,acmpca,CertificateAuthorityActivation,AWS::ACMPCA::CertificateAuthorityActivation,,,,,,,no,CertificateAuthorityArn,cfn,CertificateAuthorityArn,,,,,,no,yes,cfn,artifact,none,,none,none,excluded,
acm-pca.permission,acmpca,Permission,AWS::ACMPCA::Permission,,,,,,,no,CertificateAuthorityArn,cfn,"CertificateAuthorityArn,Principal",,,,,,no,yes,cfn,artifact,none,,none,none,excluded,
acm-pca.tag,acmpca,tag,,,,aws.acmpca.list_tags,list_tags,{{ response }},1,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
aiops.investigation_group,aiops,InvestigationGroup,AWS::AIOps::InvestigationGroup,,,aws.aiops.list_investigation_groups,list_investigation_groups,{{ response.investigationGroups }},0,yes,Arn,cfn,Arn,Arn,,,,,yes,yes,cfn+spec,asset,own_id,,field,real,excluded,
aiops.investigation_group_policy,aiops,investigation_group_policy,,,,aws.aiops.get_investigation_group_policy,get_investigation_group_policy,,0,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
aiops.tags_for_resource,aiops,tags_for_resource,,,,aws.aiops.list_tags_for_resource,list_tags_for_resource,,0,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
amp.anomaly_detector,amp,anomaly_detector,,,,aws.amp.describe_anomaly_detector,describe_anomaly_detector,,0,yes,anomalyDetectorId,spec-qualified,,,anomaly-detector,,,,,yes,spec,asset,own_id,,construct,real,excluded,
amp.query_logging_configuration,amp,query_logging_configuration,,,,aws.amp.describe_query_logging_configuration,describe_query_logging_configuration,,1,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
amp.resource_policy,amp,resource_policy,,,,aws.amp.describe_resource_policy,describe_resource_policy,,1,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
amp.scraper_logging_configuration,amp,scraper_logging_configuration,,,,aws.amp.describe_scraper_logging_configuration,describe_scraper_logging_configuration,{{ response.scraperComponents }},1,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
amp.tags_for_resource,amp,tags_for_resource,,,,aws.amp.list_tags_for_resource,list_tags_for_resource,,0,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
amp.workspace_configuration,amp,workspace_configuration,,,,aws.amp.describe_workspace_configuration,describe_workspace_configuration,,1,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
amplify.domain,amplify,Domain,AWS::Amplify::Domain,,,,,,,no,Arn,cfn,Arn,Arn,,,,,no,yes,cfn,artifact,none,,none,none,excluded,
amplify.tags_for_resource,amplify,tags_for_resource,,,,aws.amplify.list_tags_for_resource,list_tags_for_resource,,0,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
amplifybackend.s3_bucket,amplifybackend,s3_bucket,,,,aws.amplifybackend.list_s3_buckets,list_s3_buckets,{{ response.Buckets }},0,yes,Name,spec-bare,,,s3-bucket,,,,,yes,spec,artifact,none,,none,none,excluded,
amplifyuibuilder.metadata,amplifyuibuilder,metadata,,,,aws.amplifyuibuilder.get_metadata,get_metadata,,0,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
amplifyuibuilder.tags_for_resource,amplifyuibuilder,tags_for_resource,,,,aws.amplifyuibuilder.list_tags_for_resource,list_tags_for_resource,,0,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
apigateway.base_path_mapping,apigateway,BasePathMapping,AWS::ApiGateway::BasePathMapping,,,,,,,no,DomainName,cfn,"DomainName,BasePath",,,,,,no,yes,cfn,artifact,none,,none,none,excluded,
apigateway.base_path_mapping_v2,apigateway,BasePathMappingV2,AWS::ApiGateway::BasePathMappingV2,,,,,,,no,BasePathMappingArn,cfn,BasePathMappingArn,BasePathMappingArn,,,,,no,yes,cfn,artifact,none,,none,none,excluded,
apigateway.deployment,apigateway,Deployment,AWS::ApiGateway::Deployment,,,,,,,no,DeploymentId,cfn,"DeploymentId,RestApiId",,,,,,no,yes,cfn,artifact,none,,none,none,excluded,
apigateway.documentation_part,apigateway,DocumentationPart,AWS::ApiGateway::DocumentationPart,,,,,,,no,DocumentationPartId,cfn,"DocumentationPartId,RestApiId",,,,,,no,yes,cfn,artifact,none,,none,none,excluded,
apigateway.documentation_version,apigateway,DocumentationVersion,AWS::ApiGateway::DocumentationVersion,,,,,,,no,DocumentationVersion,cfn,"DocumentationVersion,RestApiId",,,,,,no,yes,cfn,artifact,none,,none,none,excluded,
