layer,layer_role,edge_type,source_resource,source_service,source_discovery_id,source_operation,source_items_for,source_depends_on,source_hops,source_executable,source_path,path_kind,target_resource,target_service,target_discovery_id,target_operation,target_items_for,target_hops,target_id_field,target_collectable,source_cfn_type,target_cfn_type,relation_source,confidence,corroborated_by,evidence,condition_prefix,condition_arn_service,condition_arn_type,condition_referential,verdict,observed_sources,observed_hits,hit_rate,resolved_targets,dangling_targets,condition_violations,verdict_detail,verified_at
L2_vpc,containment,contained-in,app-elb,elbv2,aws.elbv2.describe_load_balancers,describe_load_balancers,{{ response.LoadBalancers }},,0,yes,VpcId,scalar,vpc,ec2,aws.ec2.describe_vpcs,describe_vpcs,{{ response.Vpcs }},0,VpcId,yes,AWS::ElasticLoadBalancingV2::LoadBalancer,AWS::EC2::VPC,c7n,high,"asff,doc",aws.app-elb.filters.vpc,vpc-,ec2,vpc,exists in vpc,pending,,,,,,,,
L2_vpc,containment,contained-in,app-elb-target-group,elbv2,aws.elbv2.describe_target_groups,describe_target_groups,{{ response.TargetGroups }},,0,yes,VpcId,scalar,vpc,ec2,aws.ec2.describe_vpcs,describe_vpcs,{{ response.Vpcs }},0,VpcId,yes,AWS::ElasticLoadBalancingV2::TargetGroup,AWS::EC2::VPC,doc,medium,,elbv2.DescribeTargetGroups: 'VPC for the targets',vpc-,ec2,vpc,exists in vpc,pending,,,,,,,,
L2_vpc,containment,contained-in,codebuild,codebuild,aws.codebuild.list_projects,list_projects,{{ response.projects }},,0,yes,VpcConfig.VpcId,dotted,vpc,ec2,aws.ec2.describe_vpcs,describe_vpcs,{{ response.Vpcs }},0,VpcId,yes,AWS::CodeBuild::Project,AWS::EC2::VPC,asff,medium,,securityhub.GetFindings: 'VPC',vpc-,ec2,vpc,exists in vpc,pending,,,,,,,,
L2_vpc,containment,contained-in,codebuild,codebuild,aws.codebuild.list_projects,list_projects,{{ response.projects }},,0,yes,vpcConfig.vpcId,dotted,vpc,ec2,aws.ec2.describe_vpcs,describe_vpcs,{{ response.Vpcs }},0,VpcId,yes,AWS::CodeBuild::Project,AWS::EC2::VPC,c7n,high,,aws.codebuild.filters.vpc,vpc-,ec2,vpc,exists in vpc,pending,,,,,,,,
L2_vpc,containment,contained-in,devicefarm-project,devicefarm,aws.devicefarm.list_projects,list_projects,{{ response.projects }},,0,yes,vpcConfig.vpcId,dotted,vpc,ec2,aws.ec2.describe_vpcs,describe_vpcs,{{ response.Vpcs }},0,VpcId,yes,,AWS::EC2::VPC,doc,medium,,devicefarm.ListProjects: 'Amazon VPC',vpc-,ec2,vpc,exists in vpc,pending,,,,,,,,
L2_vpc,containment,contained-in,directory,ds,aws.ds.describe_directories,describe_directories,{{ response.DirectoryDescriptions }},,0,yes,ConnectSettings.VpcId,dotted,vpc,ec2,aws.ec2.describe_vpcs,describe_vpcs,{{ response.Vpcs }},0,VpcId,yes,,AWS::EC2::VPC,doc,medium,,ds.DescribeDirectories: 'VPC that the AD Connector is in',vpc-,ec2,vpc,exists in vpc,pending,,,,,,,,
L2_vpc,containment,contained-in,directory,ds,aws.ds.describe_directories,describe_directories,{{ response.DirectoryDescriptions }},,0,yes,OwnerDirectoryDescription.VpcSettings.VpcId,dotted,vpc,ec2,aws.ec2.describe_vpcs,describe_vpcs,{{ response.Vpcs }},0,VpcId,yes,,AWS::EC2::VPC,doc,medium,,ds.DescribeDirectories: 'VPC that the directory is in',vpc-,ec2,vpc,exists in vpc,pending,,,,,,,,
L2_vpc,containment,contained-in,directory,ds,aws.ds.describe_directories,describe_directories,{{ response.DirectoryDescriptions }},,0,yes,VpcSettings.VpcId,dotted,vpc,ec2,aws.ec2.describe_vpcs,describe_vpcs,{{ response.Vpcs }},0,VpcId,yes,,AWS::EC2::VPC,c7n,high,doc,aws.directory.filters.vpc,vpc-,ec2,vpc,exists in vpc,pending,,,,,,,,
L2_vpc,containment,contained-in,dms-instance,dms,aws.dms.describe_replication_instances,describe_replication_instances,{{ response.ReplicationInstances }},,0,yes,ReplicationSubnetGroup.VpcId,dotted,vpc,ec2,aws.ec2.describe_vpcs,describe_vpcs,{{ response.Vpcs }},0,VpcId,yes,AWS::DMS::ReplicationInstance,AWS::EC2::VPC,c7n,high,doc,aws.dms-instance.filters.vpc,vpc-,ec2,vpc,exists in vpc,pending,,,,,,,,
L2_vpc,containment,contained-in,ec2,ec2,aws.ec2.describe_instances,describe_instances,{{ response.Reservations[].Instances }},,0,yes,NetworkInterfaces[].VpcId,list_dict,vpc,ec2,aws.ec2.describe_vpcs,describe_vpcs,{{ response.Vpcs }},0,VpcId,yes,AWS::EC2::Instance,AWS::EC2::VPC,doc,medium,,ec2.DescribeInstances: 'VPC',vpc-,ec2,vpc,exists in vpc,pending,,,,,,,,
