provider,resource,service,id,name,date,arn,arn_type,arn_separator,config_type,cfn_type,enum_spec,detail_spec,parent_spec,id_prefix,dimension,global_resource,universal_taggable,default_report_fields,permissions_enum,permission_prefix,class_path
aws,access-analyzer-finding,accessanalyzer,id,resourceType,,,,/,,,"[""list_findings"",""findings"",null]",,,,,False,False,[],"[""access-analyzer:ListAnalyzers"",""access-analyzer:ListFindings""]",access-analyzer,c7n.resources.accessanalyzer.AccessanalyzerFinding
aws,account,account,account_id,account_name,,,,/,,AWS::::Account,,,,,,True,False,[],,,c7n.resources.account.Account
aws,acm-certificate,acm,CertificateArn,DomainName,CreatedAt,,certificate,/,AWS::ACM::Certificate,AWS::CertificateManager::Certificate,"[""list_certificates"",""CertificateSummaryList"",{""Includes"":{""keyTypes"":[""RSA_2048"",""RSA_1024"",""RSA_4096"",""EC_prime256v1"",""EC_secp384r1"",""EC_secp521r1""]}}]","[""describe_certificate"",""CertificateArn"",""CertificateArn"",""Certificate""]",,,,False,<object object at 0x10c946120>,[],,,c7n.resources.acm.Certificate
aws,advisor-check,support,checkId,checkId,,,checks,/,,,"[""describe_trusted_advisor_checks"",""checks"",null]","[""describe_trusted_advisor_check_result"",""checkId"",""id"",""result""]",,,,False,<object object at 0x10f274cb0>,[],,,c7n.resources.support.AdvisorCheck
aws,airflow,mwaa,Name,Name,,Arn,environment,/,,AWS::MWAA::Environment,"[""list_environments"",""Environments"",null]","[""get_environment"",""Name"",null,""Environment""]",,,,False,False,[],,airflow,c7n.resources.airflow.ApacheAirflow
aws,alarm,cloudwatch,AlarmName,AlarmName,AlarmConfigurationUpdatedTimestamp,AlarmArn,alarm,/,AWS::CloudWatch::Alarm,AWS::CloudWatch::Alarm,"[""describe_alarms"",""MetricAlarms"",null]",,,,,False,<object object at 0x10c946f80>,[],,,c7n.resources.cw.Alarm
aws,ami,ec2,ImageId,Name,CreationDate,,image,/,,,"[""describe_images"",""Images"",null]",,,ami-,,False,False,[],,,c7n.resources.ami.AMI
aws,apigw-domain-name,apigateway,domainName,domainName,createdDate,,/domainnames,/,,AWS::ApiGateway::DomainName,"[""get_domain_names"",""items"",null]",,,,,False,True,[],,,c7n.resources.apigw.CustomDomainName
aws,apigwv2,apigatewayv2,ApiId,name,createdDate,,/apis,/,AWS::ApiGatewayV2::Api,AWS::ApiGatewayV2::Api,"[""get_apis"",""Items"",null]",,,,ApiId,False,<object object at 0x10c946380>,[],"[""apigateway:GET""]",apigateway,c7n.resources.apigw.ApiGwV2
aws,apigwv2-stage,apigatewayv2,StageName,StageName,,,/apis,/,AWS::ApiGatewayV2::Stage,AWS::ApiGatewayV2::Stage,"[""get_stages"",""Items"",null]",,"[""aws.apigwv2"",""ApiId"",true]",,,False,<object object at 0x10c9463a0>,[],"[""apigateway:GET""]",apigateway,c7n.resources.apigw.ApiGatewayV2Stage
aws,app-elb,elbv2,LoadBalancerArn,LoadBalancerName,CreatedTime,LoadBalancerArn,loadbalancer/app,/,AWS::ElasticLoadBalancingV2::LoadBalancer,AWS::ElasticLoadBalancingV2::LoadBalancer,"[""describe_load_balancers"",""LoadBalancers"",null]",,,,LoadBalancer,False,False,[],,elasticloadbalancing,c7n.resources.appelb.AppELB
aws,app-elb-target-group,elbv2,TargetGroupArn,TargetGroupName,,,target-group,/,,AWS::ElasticLoadBalancingV2::TargetGroup,"[""describe_target_groups"",""TargetGroups"",null]",,,,,False,False,[],,elasticloadbalancing,c7n.resources.appelb.AppELBTargetGroup
aws,app-flow,appflow,flowName,flowName,,flowArn,flow,/,,,"[""list_flows"",""flows"",{""maxResults"":100}]","[""describe_flow"",""flowName"",""flowName"",null]",,,,False,False,[],,,c7n.resources.appflow.AppFlow
aws,appdiscovery-agent,discovery,agentId,hostName,,False,,/,,,"[""describe_agents"",""agentsInfo"",null]",,,,,False,False,[],,,c7n.resources.discovery.AppdiscoveryAgent
aws,appmesh-mesh,appmesh,meshName,meshName,,arn,mesh,/,AWS::AppMesh::Mesh,AWS::AppMesh::Mesh,"[""list_meshes"",""meshes"",null]","[""describe_mesh"",""meshName"",""meshName"",null]",,,,False,<object object at 0x10c9465b0>,[],,,c7n.resources.appmesh.AppmeshMesh
aws,appmesh-virtual-gateway,appmesh,meshName,virtualGatewayName,createdAt,metadata.arn,mesh,/,AWS::AppMesh::VirtualGateway,AWS::AppMesh::VirtualGateway,"[""list_virtual_gateways"",""virtualGateways"",null]",,"[""appmesh-mesh"",""meshName"",null]",,,False,<object object at 0x10c9465c0>,[],,,c7n.resources.appmesh.AppmeshVirtualGateway
aws,appstream-fleet,appstream,Name,Name,,Arn,fleet,/,AWS::AppStream::Fleet,AWS::AppStream::Fleet,"[""describe_fleets"",""Fleets"",null]",,,,,False,<object object at 0x10c9465d0>,[],,,c7n.resources.appstream.AppStreamFleet
aws,appstream-stack,appstream,Name,Name,,Arn,stack,/,,AWS::AppStream::Stack,"[""describe_stacks"",""Stacks"",null]",,,,,False,<object object at 0x10c9465e0>,[],,,c7n.resources.appstream.AppStreamStack
aws,artifact-domain,codeartifact,name,name,,arn,,/,,AWS::CodeArtifact::Domain,"[""list_domains"",""domains"",null]","[""describe_domain"",""domain"",""name"",""domain""]",,,,False,False,[],,,c7n.resources.artifact.ArtifactDomain
aws,artifact-repo,codeartifact,name,name,,arn,,/,AWS::CodeArtifact::Repository,AWS::CodeArtifact::Repository,"[""list_repositories"",""repositories"",null]",,,,,False,False,[],,,c7n.resources.artifact.ArtifactRepo
aws,asg,autoscaling,AutoScalingGroupName,AutoScalingGroupName,CreatedTime,AutoScalingGroupARN,autoScalingGroup,:,AWS::AutoScaling::AutoScalingGroup,AWS::AutoScaling::AutoScalingGroup,"[""describe_auto_scaling_groups"",""AutoScalingGroups"",null]",,,,AutoScalingGroupName,False,False,"[""AutoScalingGroupName"",""CreatedTime"",""LaunchConfigurationName"",""count:Instances"",""DesiredCapacity"",""HealthCheckType"",""list:LoadBalancerNames""]",,,c7n.resources.asg.ASG
aws,athena-named-query,athena,NamedQueryId,Name,,False,,/,,AWS::Athena::NamedQuery,"[""list_named_queries"",""NamedQueryIds"",null]",,,,,False,False,[],,,c7n.resources.athena.AthenaNamedQuery
aws,backup-plan,backup,BackupPlanName,BackupPlanId,,BackupPlanArn,,/,AWS::Backup::BackupPlan,AWS::Backup::BackupPlan,"[""list_backup_plans"",""BackupPlansList"",null]","[""get_backup_plan"",""BackupPlanId"",""BackupPlanId"",null]",,,,False,<object object at 0x10c946be0>,[],,,c7n.resources.backup.BackupPlan
aws,backup-vault,backup,BackupVaultName,BackupVaultName,,BackupVaultArn,backup-vault,/,AWS::Backup::BackupVault,AWS::Backup::BackupVault,"[""list_backup_vaults"",""BackupVaultList"",null]",,,,,False,<object object at 0x10c946bf0>,[],,,c7n.resources.backup.BackupVault
aws,batch-compute,batch,computeEnvironmentName,computeEnvironmentName,,computeEnvironmentArn,compute-environment,/,AWS::Batch::ComputeEnvironment,AWS::Batch::ComputeEnvironment,"[""describe_compute_environments"",""computeEnvironments"",null]",,,,,False,<object object at 0x10c946c00>,[],,,c7n.resources.batch.ComputeEnvironment
aws,batch-definition,batch,jobDefinitionName,jobDefinitionName,,jobDefinitionArn,job-definition,/,,AWS::Batch::JobDefinition,"[""describe_job_definitions"",""jobDefinitions"",null]",,,,,False,<object object at 0x10c946c10>,[],,,c7n.resources.batch.JobDefinition
aws,batch-queue,batch,jobQueueName,jobQueueName,,jobQueueArn,job-queue,/,AWS::Batch::JobQueue,AWS::Batch::JobQueue,"[""describe_job_queues"",""jobQueues"",null]",,,,,False,<object object at 0x10c946c60>,[],,,c7n.resources.batch.BatchJobQueue
aws,bedrock-agent,bedrock-agent,agentId,agentName,,agentArn,,/,,,"[""list_agents"",""agentSummaries[]"",null]","[""get_agent"",""agentId"",""agentId"",""agent""]",,,,False,False,[],,bedrock,c7n.resources.bedrock.BedrockAgent
aws,bedrock-custom-model,bedrock,modelArn,modelName,,modelArn,,/,,,"[""list_custom_models"",""modelSummaries[]"",null]","[""get_custom_model"",""modelIdentifier"",""modelArn"",null]",,,,False,False,[],,bedrock,c7n.resources.bedrock.BedrockCustomModel
aws,bedrock-customization-job,bedrock,jobArn,jobName,,jobArn,,/,,,"[""list_model_customization_jobs"",""modelCustomizationJobSummaries[]"",{""statusEquals"":""InProgress""}]","[""get_model_customization_job"",""jobIdentifier"",""jobName"",null]",,,,False,False,[],,bedrock,c7n.resources.bedrock.BedrockModelCustomizationJob
aws,bedrock-knowledge-base,bedrock-agent,knowledgeBaseId,name,,knowledgeBaseArn,,/,,,"[""list_knowledge_bases"",""knowledgeBaseSummaries"",null]","[""get_knowledge_base"",""knowledgeBaseId"",""knowledgeBaseId"",""knowledgeBase""]",,,,False,False,[],,bedrock,c7n.resources.bedrock.BedrockKnowledgeBase
aws,budget,budgets,BudgetName,BudgetName,,,budget,/,,AWS::Budgets::Budget,"[""describe_budgets"",""Budgets"",null]",,,,,True,False,[],"[""budgets:ViewBudget""]",,c7n.resources.budgets.Budget
aws,cache-cluster,elasticache,CacheClusterId,CacheClusterId,CacheClusterCreateTime,,cluster,:,,AWS::ElastiCache::CacheCluster,"[""describe_cache_clusters"",""CacheClusters[]"",null]",,,,CacheClusterId,False,True,[],,,c7n.resources.elasticache.ElastiCacheCluster
aws,cache-snapshot,elasticache,SnapshotName,SnapshotName,StartTime,,snapshot,:,,,"[""describe_snapshots"",""Snapshots"",null]",,,,,False,True,[],,,c7n.resources.elasticache.ElastiCacheSnapshot
aws,cache-subnet-group,elasticache,CacheSubnetGroupName,CacheSubnetGroupName,,,subnetgroup,/,,AWS::ElastiCache::SubnetGroup,"[""describe_cache_subnet_groups"",""CacheSubnetGroups"",null]",,,,,False,False,[],,,c7n.resources.elasticache.ElastiCacheSubnetGroup
aws,catalog-portfolio,servicecatalog,Id,DisplayName,CreatedTime,ARN,portfolio,/,AWS::ServiceCatalog::Portfolio,AWS::ServiceCatalog::Portfolio,"[""list_portfolios"",""PortfolioDetails"",null]","[""describe_portfolio"",""Id"",""Id"",null]",,,,False,<object object at 0x10f274a20>,[],,,c7n.resources.servicecatalog.CatalogPortfolio
aws,catalog-product,servicecatalog,ProductId,Name,CreatedTime,ProductARN,product,/,,AWS::ServiceCatalog::CloudFormationProduct,"[""search_products_as_admin"",""ProductViewDetails[].ProductViewSummary"",null]","[""describe_product_as_admin"",""Id"",""ProductId"",null]",,,,False,<object object at 0x10f274a80>,[],,,c7n.resources.servicecatalog.CatalogProduct
aws,cfn,cloudformation,StackName,StackName,CreationTime,,stack,/,AWS::CloudFormation::Stack,AWS::CloudFormation::Stack,"[""describe_stacks"",""Stacks[]"",null]",,,,,False,False,[],,,c7n.resources.cfn.CloudFormation
aws,cloud-directory,clouddirectory,DirectoryArn,Name,,DirectoryArn,directory,/,,,"[""list_directories"",""Directories"",{""state"":""ENABLED""}]",,,,,False,<object object at 0x10c9471b0>,[],,,c7n.resources.directory.CloudDirectory
aws,cloudhsm-cluster,cloudhsmv2,ClusterId,ClusterId,,,cluster,/,,,"[""describe_clusters"",""Clusters"",null]",,,,,False,<object object at 0x10c947cc0>,[],,cloudhsm,c7n.resources.hsm.CloudHSMCluster
aws,cloudsearch,cloudsearch,DomainName,DomainName,,,domain,/,,,"[""describe_domains"",""DomainStatusList"",null]",,,,DomainName,False,False,[],,,c7n.resources.cloudsearch.CloudSearch
aws,cloudtrail,cloudtrail,TrailARN,Name,,TrailARN,trail,/,AWS::CloudTrail::Trail,AWS::CloudTrail::Trail,"[""describe_trails"",""trailList"",null]",,,,,False,<object object at 0x10c946df0>,[],,,c7n.resources.cloudtrail.CloudTrail
aws,cloudwatch-dashboard,cloudwatch,DashboardName,DashboardName,,DashboardArn,dashboard,/,,AWS::CloudWatch::Dashboard,"[""list_dashboards"",""DashboardEntries"",null]",,,,,False,<object object at 0x10c947130>,[],,,c7n.resources.cw.CloudWatchDashboard
aws,codebuild,codebuild,name,name,created,arn,project,/,AWS::CodeBuild::Project,AWS::CodeBuild::Project,"[""list_projects"",""projects"",null]",,,,ProjectName,False,<object object at 0x10c946e80>,[],,,c7n.resources.code.CodeBuildProject
aws,codecommit,codecommit,repositoryName,repositoryName,creationDate,Arn,,/,,AWS::CodeCommit::Repository,"[""list_repositories"",""repositories"",null]",,,,,False,<object object at 0x10c946e60>,[],,,c7n.resources.code.CodeRepository
aws,codedeploy-app,codedeploy,applicationName,applicationName,createTime,,application,:,AWS::CodeDeploy::Application,AWS::CodeDeploy::Application,"[""list_applications"",""applications"",null]",,,,,False,True,[],,,c7n.resources.code.CodeDeployApplication
aws,codedeploy-deployment,codedeploy,deploymentId,deploymentId,createTime,,deploymentgroup,/,,,"[""list_deployments"",""deployments"",{""includeOnlyStatuses"":[""Created"",""Queued"",""InProgress"",""Baking"",""Ready""]}]",,,,,False,False,[],,,c7n.resources.code.CodeDeployDeployment
aws,codedeploy-group,codedeploy,deploymentGroupId,deploymentGroupName,,,deploymentgroup,:,AWS::CodeDeploy::DeploymentGroup,AWS::CodeDeploy::DeploymentGroup,"[""list_deployment_groups"",""deploymentGroups"",null]",,"[""codedeploy-app"",""applicationName"",null]",,,False,True,[],,codedeploy,c7n.resources.code.CodeDeployDeploymentGroup
aws,codepipeline,codepipeline,name,name,created,,,/,AWS::CodePipeline::Pipeline,AWS::CodePipeline::Pipeline,"[""list_pipelines"",""pipelines"",null]","[""get_pipeline"",""name"",""name"",""pipeline""]",,,,False,<object object at 0x10c946ea0>,[],,,c7n.resources.code.CodeDeployPipeline
aws,composite-alarm,cloudwatch,AlarmName,AlarmName,AlarmConfigurationUpdatedTimestamp,AlarmArn,alarm,/,,AWS::CloudWatch::CompositeAlarm,"[""describe_alarms"",""CompositeAlarms"",{""AlarmTypes"":[""CompositeAlarm""]}]",,,,,False,<object object at 0x10c946fd0>,[],,,c7n.resources.cw.CompositeAlarm
aws,config-recorder,config,name,name,,False,,/,,AWS::Config::ConfigurationRecorder,"[""describe_configuration_recorders"",""ConfigurationRecorders"",null]",,,,,False,False,[],,,c7n.resources.config.ConfigRecorder
aws,config-rule,config,ConfigRuleName,ConfigRuleName,,ConfigRuleArn,config-rule,/,,AWS::Config::ConfigRule,"[""describe_config_rules"",""ConfigRules"",null]",,,,,False,True,[],,,c7n.resources.config.ConfigRule
aws,connect-campaign,connectcampaigns,id,name,,,campaign,/,,,"[""list_campaigns"",""campaignSummaryList"",null]","[""get_connect_instance_config"",""connectInstanceId"",""connectInstanceId"",null]",,,,False,False,[],,connect-campaigns,c7n.resources.connect.ConnectCampaign
aws,connect-instance,connect,Id,InstanceAlias,,,instance,/,,,"[""list_instances"",""InstanceSummaryList"",null]",,,,,False,False,[],,,c7n.resources.connect.Connect
aws,customer-gateway,ec2,CustomerGatewayId,CustomerGatewayId,,,customer-gateway,/,AWS::EC2::CustomerGateway,AWS::EC2::CustomerGateway,"[""describe_customer_gateways"",""CustomerGateways"",null]",,,cgw-,,False,False,[],,,c7n.resources.vpc.CustomerGateway
aws,datalake-location,lakeformation,ResourceArn,ResourceArn,,ResourceArn,,/,,AWS::LakeFormation::Resource,"[""list_resources"",""ResourceInfoList"",null]",,,,,False,False,[],,,c7n.resources.lakeformation.LakeFormationRegisteredLocation
aws,datapipeline,datapipeline,pipelineId,name,,,pipeline,/,,,"[""list_pipelines"",""pipelineIdList"",null]",,,,name,False,False,[],,,c7n.resources.datapipeline.DataPipeline
aws,datasync-agent,datasync,AgentArn,Name,,AgentArn,agent,/,,AWS::DataSync::Agent,"[""list_agents"",""Agents"",null]","[""describe_agent"",""AgentArn"",""AgentArn"",""""]",,,,False,<object object at 0x10c947160>,[],,,c7n.resources.datasync.DataSyncAgent
aws,datasync-task,datasync,TaskArn,Name,,TaskArn,task,/,AWS::DataSync::Task,AWS::DataSync::Task,"[""list_tasks"",""Tasks"",null]","[""describe_task"",""TaskArn"",""TaskArn"",""""]",,,,False,<object object at 0x10c947170>,[],,,c7n.resources.datasync.DataSyncTask
aws,dax,dax,ClusterName,ClusterName,,ClusterArn,cache,/,,AWS::DAX::Cluster,"[""describe_clusters"",""Clusters"",null]",,,,,False,False,[],,,c7n.resources.dynamodb.DynamoDbAccelerator
aws,devicefarm-project,devicefarm,arn,name,,arn,project,/,AWS::DeviceFarm::Project,,"[""list_projects"",""projects"",null]",,,,,False,<object object at 0x10c947180>,[],,,c7n.resources.devicefarm.DevicefarmProject
aws,directconnect,directconnect,connectionId,connectionName,,,dxcon,/,,,"[""describe_connections"",""connections"",null]",,,,,False,<object object at 0x10c947190>,[],,,c7n.resources.directconnect.DirectConnect
aws,directory,ds,DirectoryId,Name,,,directory,/,,,"[""describe_directories"",""DirectoryDescriptions"",null]",,,,,False,False,[],,,c7n.resources.directory.Directory
aws,distribution,cloudfront,Id,DomainName,LastModifiedTime,ARN,distribution,/,AWS::CloudFront::Distribution,AWS::CloudFront::Distribution,"[""list_distributions"",""DistributionList.Items"",null]",,,,DistributionId,True,True,[],,,c7n.resources.cloudfront.Distribution
aws,dlm-policy,dlm,PolicyId,PolicyId,,PolicyArn,policy,/,,AWS::DLM::LifecyclePolicy,"[""get_lifecycle_policies"",""Policies"",null]","[""get_lifecycle_policy"",""PolicyId"",""PolicyId"",""Policy""]",,,,False,False,[],,,c7n.resources.dlm.DLMPolicy
