provider,resource,service,id,name,date,arn,arn_type,arn_separator,config_type,cfn_type,enum_spec,detail_spec,parent_spec,id_prefix,dimension,global_resource,universal_taggable,default_report_fields,permissions_enum,permission_prefix,class_path
aws,dms-endpoint,dms,EndpointArn,EndpointIdentifier,,EndpointArn,endpoint,/,,AWS::DMS::Endpoint,"[""describe_endpoints"",""Endpoints"",null]",,,,,False,<object object at 0x10c9471e0>,[],,,c7n.resources.dms.DmsEndpoints
aws,dms-instance,dms,ReplicationInstanceIdentifier,ReplicationInstanceIdentifier,InstanceCreateTime,ReplicationInstanceArn,rep,/,,AWS::DMS::ReplicationInstance,"[""describe_replication_instances"",""ReplicationInstances"",null]",,,,,False,False,[],,,c7n.resources.dms.ReplicationInstance
aws,dms-replication-task,dms,ReplicationTaskArn,ReplicationTaskIdentifier,,ReplicationTaskArn,task,/,AWS::DMS::ReplicationTask,AWS::DMS::ReplicationTask,"[""describe_replication_tasks"",""ReplicationTasks"",null]",,,,,False,<object object at 0x10c947250>,[],,,c7n.resources.dms.DMSReplicationTask
aws,dynamodb-backup,dynamodb,BackupArn,BackupName,BackupCreationDateTime,BackupArn,,/,,,"[""list_backups"",""BackupSummaries"",null]",,,,,False,False,[],,,c7n.resources.dynamodb.Backup
aws,dynamodb-stream,dynamodbstreams,StreamArn,TableName,CreationDateTime,StreamArn,stream,/,,,"[""list_streams"",""Streams"",null]","[""describe_stream"",""StreamArn"",""StreamArn"",""StreamDescription""]",,,TableName,False,False,[],,dynamodb,c7n.resources.dynamodb.Stream
aws,dynamodb-table,dynamodb,TableName,TableName,CreationDateTime,TableArn,table,/,AWS::DynamoDB::Table,AWS::DynamoDB::Table,"[""list_tables"",""TableNames"",null]","[""describe_table"",""TableName"",null,""Table""]",,,TableName,False,<object object at 0x10c947270>,[],,,c7n.resources.dynamodb.Table
aws,ebs,ec2,VolumeId,VolumeId,createTime,,volume,/,AWS::EC2::Volume,AWS::EC2::Volume,"[""describe_volumes"",""Volumes"",null]",,,vol-,VolumeId,False,False,"[""VolumeId"",""Attachments[0].InstanceId"",""Size"",""VolumeType"",""KmsKeyId""]",,,c7n.resources.ebs.EBS
aws,ebs-snapshot,ec2,SnapshotId,SnapshotId,StartTime,,snapshot,/,,,"[""describe_snapshots"",""Snapshots"",null]",,,snap-,,False,False,"[""SnapshotId"",""VolumeId"",""tag:InstanceId"",""VolumeSize"",""StartTime"",""State""]",,,c7n.resources.ebs.Snapshot
aws,ec2,ec2,InstanceId,PublicDnsName,LaunchTime,,instance,/,AWS::EC2::Instance,AWS::EC2::Instance,"[""describe_instances"",""Reservations[].Instances[]"",null]",,,i-,InstanceId,False,False,"[""CustodianDate"",""InstanceId"",""tag:Name"",""InstanceType"",""LaunchTime"",""VpcId"",""PrivateIpAddress""]",,,c7n.resources.ec2.EC2
aws,ec2-capacity-reservation,ec2,CapacityReservationId,CapacityReservationId,,CapacityReservationArn,,/,,AWS::EC2::CapacityReservation,"[""describe_capacity_reservations"",""CapacityReservations"",null]",,,cr-,,False,False,[],"[""ec2:DescribeCapacityReservations""]",,c7n.resources.ec2.CapacityReservation
aws,ec2-host,ec2,HostId,HostId,AllocationTime,,dedicated-host,/,AWS::EC2::Host,AWS::EC2::Host,"[""describe_hosts"",""Hosts"",null]",,,h-,,False,False,[],"[""ec2:DescribeHosts""]",,c7n.resources.ec2.DedicatedHost
aws,ec2-reserved,ec2,ReservedInstancesId,ReservedInstancesId,Start,,reserved-instances,/,,,"[""describe_reserved_instances"",""ReservedInstances"",null]",,,,,False,False,[],,,c7n.resources.ec2.ReservedInstance
aws,ec2-spot-fleet-request,ec2,SpotFleetRequestId,SpotFleetRequestId,CreateTime,,spot-fleet-request,/,AWS::EC2::SpotFleet,AWS::EC2::SpotFleet,"[""describe_spot_fleet_requests"",""SpotFleetRequestConfigs"",null]",,,sfr-,,False,False,[],"[""ec2:DescribeSpotFleetRequests""]",,c7n.resources.ec2.SpotFleetRequest
aws,ecr,ecr,repositoryName,repositoryName,,repositoryArn,repository,/,AWS::ECR::Repository,AWS::ECR::Repository,"[""describe_repositories"",""repositories"",null]",,,,RepositoryName,False,False,[],,,c7n.resources.ecr.ECR
aws,ecr-image,ecr,imageDigest,repositoryName,,imageArn,repository,/,,,"[""describe_images"",""imageDetails"",null]",,"[""ecr"",""repositoryName"",null]",,,False,False,[],,,c7n.resources.ecr.RepositoryImage
aws,ecs,ecs,clusterArn,clusterName,,clusterArn,cluster,/,AWS::ECS::Cluster,AWS::ECS::Cluster,"[""list_clusters"",""clusterArns"",null]",,,,,False,False,[],,,c7n.resources.ecs.ECSCluster
aws,ecs-container-instance,ecs,containerInstanceArn,containerInstanceArn,,containerInstanceArn,,/,,,"[""list_container_instances"",""containerInstanceArns"",null]",,"[""ecs"",""cluster"",null]",,,False,False,[],,,c7n.resources.ecs.ContainerInstance
aws,ecs-service,ecs,serviceArn,serviceName,,serviceArn,,/,AWS::ECS::Service,AWS::ECS::Service,"[""list_services"",""serviceArns"",null]",,"[""ecs"",""cluster"",null]",,,False,False,[],,,c7n.resources.ecs.Service
aws,ecs-task,ecs,taskArn,taskArn,,taskArn,task,/,,AWS::ECS::TaskSet,"[""list_tasks"",""taskArns"",null]",,"[""ecs"",""cluster"",null]",,,False,False,[],,,c7n.resources.ecs.Task
aws,ecs-task-definition,ecs,taskDefinitionArn,taskDefinitionArn,,taskDefinitionArn,task-definition,/,AWS::ECS::TaskDefinition,AWS::ECS::TaskDefinition,"[""list_task_definitions"",""taskDefinitionArns"",null]",,,,,False,False,[],,,c7n.resources.ecs.TaskDefinition
aws,efs,efs,FileSystemId,Name,CreationTime,FileSystemArn,file-system,/,AWS::EFS::FileSystem,AWS::EFS::FileSystem,"[""describe_file_systems"",""FileSystems"",null]",,,,FileSystemId,False,True,[],,elasticfilesystem,c7n.resources.efs.ElasticFileSystem
aws,efs-mount-target,efs,MountTargetId,MountTargetId,,False,,/,,AWS::EFS::MountTarget,"[""describe_mount_targets"",""MountTargets"",null]",,"[""efs"",""FileSystemId"",null]",,,False,False,[],,elasticfilesystem,c7n.resources.efs.ElasticFileSystemMountTarget
aws,eks,eks,name,name,createdAt,arn,cluster,/,AWS::EKS::Cluster,AWS::EKS::Cluster,"[""list_clusters"",""clusters"",null]","[""describe_cluster"",""name"",null,""cluster""]",,,,False,False,[],,,c7n.resources.eks.EKS
aws,eks-nodegroup,eks,nodegroupArn,nodegroupName,createdAt,nodegroupArn,nodegroup,/,,,"[""list_nodegroups"",""nodegroups"",null]",,"[""eks"",""clusterName"",null]",,,False,False,[],"[""eks:DescribeNodegroup""]",,c7n.resources.eks.NodeGroup
aws,elastic-ip,ec2,AllocationId,PublicIp,,,elastic-ip,/,AWS::EC2::EIP,AWS::EC2::EIP,"[""describe_addresses"",""Addresses"",null]",,,eipalloc-,,False,False,[],,,c7n.resources.vpc.NetworkAddress
aws,elasticache-group,elasticache,ReplicationGroupId,ReplicationGroupId,,,replicationgroup,:,,AWS::ElastiCache::ReplicationGroup,"[""describe_replication_groups"",""ReplicationGroups[]"",null]",,,,ReplicationGroupId,False,<object object at 0x10c9478b0>,[],,,c7n.resources.elasticache.ElastiCacheReplicationGroup
aws,elasticbeanstalk,elasticbeanstalk,ApplicationName,ApplicationName,,ApplicationArn,application,/,AWS::ElasticBeanstalk::Application,AWS::ElasticBeanstalk::Application,"[""describe_applications"",""Applications"",null]",,,,,False,False,"[""ApplicationName"",""DateCreated"",""DateUpdated""]",,,c7n.resources.elasticbeanstalk.ElasticBeanstalk
aws,elasticbeanstalk-environment,elasticbeanstalk,EnvironmentName,EnvironmentName,,EnvironmentArn,environment,/,AWS::ElasticBeanstalk::Environment,AWS::ElasticBeanstalk::Environment,"[""describe_environments"",""Environments"",null]",,,,,False,False,"[""EnvironmentName"",""DateCreated"",""DateUpdated""]",,,c7n.resources.elasticbeanstalk.ElasticBeanstalkEnvironment
aws,elasticsearch,es,DomainName,Name,,ARN,domain,/,AWS::Elasticsearch::Domain,AWS::Elasticsearch::Domain,"[""list_domain_names"",""DomainNames[].DomainName"",null]",,,,DomainName,False,False,[],,,c7n.resources.elasticsearch.ElasticSearchDomain
aws,elasticsearch-reserved,es,ReservedElasticsearchInstanceId,ReservedElasticsearchInstanceId,StartTime,,reserved-instances,/,,,"[""describe_reserved_elasticsearch_instances"",""ReservedElasticsearchInstances"",null]",,,,,False,False,[],"[""es:DescribeReservedElasticsearchInstances""]",,c7n.resources.elasticsearch.ReservedInstances
aws,elb,elb,LoadBalancerName,DNSName,CreatedTime,,loadbalancer,/,AWS::ElasticLoadBalancing::LoadBalancer,AWS::ElasticLoadBalancing::LoadBalancer,"[""describe_load_balancers"",""LoadBalancerDescriptions"",null]",,,,LoadBalancerName,False,False,"[""LoadBalancerName"",""DNSName"",""VPCId"",""count:Instances"",""list:ListenerDescriptions[].Listener.LoadBalancerPort""]",,elasticloadbalancing,c7n.resources.elb.ELB
aws,emr,emr,Id,Name,Status.Timeline.CreationDateTime,,emr,/,,AWS::EMR::Cluster,"[""list_clusters"",""Clusters"",null]",,,,,False,False,[],,elasticmapreduce,c7n.resources.emr.EMRCluster
aws,emr-security-configuration,emr,Name,Name,,,emr,/,,AWS::EMR::SecurityConfiguration,"[""list_security_configurations"",""SecurityConfigurations"",null]","[""describe_security_configuration"",""Name"",""Name"",null]",,,,False,False,[],,elasticmapreduce,c7n.resources.emr.EMRSecurityConfiguration
aws,emr-serverless-app,emr-serverless,id,name,createdAt,arn,/applications,/,,AWS::EMRServerless::Application,"[""list_applications"",""applications"",null]",,,,,False,False,[],,,c7n.resources.emr.EMRServerless
aws,eni,ec2,NetworkInterfaceId,NetworkInterfaceId,,,network-interface,/,AWS::EC2::NetworkInterface,AWS::EC2::NetworkInterface,"[""describe_network_interfaces"",""NetworkInterfaces"",null]",,,eni-,,False,False,[],,,c7n.resources.vpc.NetworkInterface
aws,event-bus,events,Name,Name,,Arn,event-bus,/,AWS::Events::EventBus,AWS::Events::EventBus,"[""list_event_buses"",""EventBuses"",null]",,,,,False,<object object at 0x10c946ff0>,[],,,c7n.resources.cw.EventBus
aws,event-rule,events,Name,Name,,,rule,/,,AWS::Events::Rule,"[""list_rules"",""Rules"",null]",,,,,False,<object object at 0x10c947010>,[],,,c7n.resources.cw.EventRule
