key,service,layer_id,layer_name,kind,overlay_group,rule,notes
ce.savings_plans_utilization_detail,ce,G0,global,spatial,identity,global-service,ce has no region
ce.tag,ce,G0,global,spatial,identity,global-service,ce has no region
ce.tags_for_resource,ce,G0,global,spatial,identity,global-service,ce has no region
ce.usage_forecast,ce,G0,global,spatial,identity,global-service,ce has no region
cloudfront.anycast_ip_list,cloudfront,G0,global,spatial,dns,global-service,cloudfront has no region
cloudfront.cache_policy,cloudfront,G0,global,spatial,dns,global-service,cloudfront has no region
cloudfront.cache_policy_config,cloudfront,G0,global,spatial,dns,global-service,cloudfront has no region
cloudfront.cloud_front_origin_access_identity,cloudfront,G0,global,spatial,dns,global-service,cloudfront has no region
cloudfront.connection_function,cloudfront,G0,global,spatial,dns,global-service,cloudfront has no region
cloudfront.connection_group,cloudfront,G0,global,spatial,dns,global-service,cloudfront has no region
cloudfront.continuous_deployment_policy,cloudfront,G0,global,spatial,dns,global-service,cloudfront has no region
cloudfront.distribution,cloudfront,G0,global,spatial,dns,global-service,cloudfront has no region
cloudfront.distribution_config,cloudfront,G0,global,spatial,dns,global-service,cloudfront has no region
cloudfront.distribution_tenant,cloudfront,G0,global,spatial,dns,global-service,cloudfront has no region
cloudfront.distribution_tenants_by_customization,cloudfront,G0,global,spatial,dns,global-service,cloudfront has no region
cloudfront.field_level_encryption,cloudfront,G0,global,spatial,dns,global-service,cloudfront has no region
cloudfront.function,cloudfront,G0,global,spatial,dns,global-service,cloudfront has no region
cloudfront.key_group,cloudfront,G0,global,spatial,dns,global-service,cloudfront has no region
cloudfront.key_value_store,cloudfront,G0,global,spatial,dns,global-service,cloudfront has no region
cloudfront.monitoring_subscription,cloudfront,G0,global,spatial,dns,global-service,cloudfront has no region
cloudfront.origin_access_control,cloudfront,G0,global,spatial,dns,global-service,cloudfront has no region
cloudfront.origin_request_policy,cloudfront,G0,global,spatial,dns,global-service,cloudfront has no region
cloudfront.origin_request_policy_config,cloudfront,G0,global,spatial,dns,global-service,cloudfront has no region
cloudfront.public_key,cloudfront,G0,global,spatial,dns,global-service,cloudfront has no region
cloudfront.realtime_log_config,cloudfront,G0,global,spatial,dns,global-service,cloudfront has no region
cloudfront.response_headers_policy,cloudfront,G0,global,spatial,dns,global-service,cloudfront has no region
cloudfront.streaming_distribution,cloudfront,G0,global,spatial,dns,global-service,cloudfront has no region
cloudfront.trust_store,cloudfront,G0,global,spatial,dns,global-service,cloudfront has no region
cloudfront.vpc_origin,cloudfront,G0,global,spatial,dns,global-service,cloudfront has no region
globalaccelerator.accelerator,globalaccelerator,G0,global,spatial,dns,global-service,globalaccelerator has no region
globalaccelerator.accelerator_attribute,globalaccelerator,G0,global,spatial,dns,global-service,globalaccelerator has no region
globalaccelerator.cross_account_attachment,globalaccelerator,G0,global,spatial,dns,global-service,globalaccelerator has no region
globalaccelerator.endpoint_group,globalaccelerator,G0,global,spatial,dns,global-service,globalaccelerator has no region
globalaccelerator.listener,globalaccelerator,G0,global,spatial,dns,global-service,globalaccelerator has no region
iam.access_key,iam,G0,global,spatial,identity,global-service,iam has no region
iam.account_authorization_detail,iam,G0,global,spatial,identity,global-service,iam has no region
iam.account_password_policy,iam,G0,global,spatial,identity,global-service,iam has no region
iam.account_summary,iam,G0,global,spatial,identity,global-service,iam has no region
iam.attached_role_policy,iam,G0,global,spatial,identity,global-service,iam has no region
iam.attached_user_policy,iam,G0,global,spatial,identity,global-service,iam has no region
iam.delegation_request,iam,G0,global,spatial,identity,global-service,iam has no region
iam.group,iam,G0,global,spatial,identity,global-service,iam has no region
iam.group_policy,iam,G0,global,spatial,identity,global-service,iam has no region
