key,service,icon_name,icon_class,icon_category,icon_file,match_level
swf.workflow_execution,swf,swf,,,,none
swf.workflow_execution_history,swf,swf,,,,none
swf.workflow_type,swf,swf,,,,none
synthetics.associated_group,synthetics,synthetics,,,,none
synthetics.canary,synthetics,synthetics,,,,none
synthetics.canary_run,synthetics,synthetics,,,,none
synthetics.group,synthetics,synthetics,,,,none
taxsettings.supplemental_tax_registration,taxsettings,taxsettings,,,,none
taxsettings.tax_registration,taxsettings,taxsettings,,,,none
timestream-influxdb.db_cluster,timestream-influxdb,timestream-influxdb,,,,none
timestream-influxdb.db_instance,timestream-influxdb,timestream-influxdb,,,,none
