key,service,icon_name,icon_class,icon_category,icon_file,match_level
pinpoint-email.domain_deliverability_campaign,pinpoint-email,pinpoint-email,,,,none
pinpoint-email.email_identity,pinpoint-email,pinpoint-email,,,,none
pinpoint-sms-voice-v2.configuration_set,pinpoint-sms-voice-v2,pinpoint-sms-voice-v2,,,,none
pinpoint-sms-voice-v2.keyword,pinpoint-sms-voice-v2,pinpoint-sms-voice-v2,,,,none
pinpoint-sms-voice-v2.opt_out_list,pinpoint-sms-voice-v2,pinpoint-sms-voice-v2,,,,none
pinpoint-sms-voice-v2.opted_out_number,pinpoint-sms-voice-v2,pinpoint-sms-voice-v2,,,,none
pinpoint-sms-voice-v2.phone_number,pinpoint-sms-voice-v2,pinpoint-sms-voice-v2,,,,none
pinpoint-sms-voice-v2.pool,pinpoint-sms-voice-v2,pinpoint-sms-voice-v2,,,,none
pinpoint-sms-voice-v2.pool_origination_identity,pinpoint-sms-voice-v2,pinpoint-sms-voice-v2,,,,none
pinpoint-sms-voice-v2.protect_configuration,pinpoint-sms-voice-v2,pinpoint-sms-voice-v2,,,,none
pinpoint-sms-voice-v2.registration,pinpoint-sms-voice-v2,pinpoint-sms-voice-v2,,,,none
pinpoint-sms-voice-v2.registration_association,pinpoint-sms-voice-v2,pinpoint-sms-voice-v2,,,,none
pinpoint-sms-voice-v2.registration_attachment,pinpoint-sms-voice-v2,pinpoint-sms-voice-v2,,,,none
pinpoint-sms-voice-v2.registration_field_definition,pinpoint-sms-voice-v2,pinpoint-sms-voice-v2,,,,none
pinpoint-sms-voice-v2.registration_field_value,pinpoint-sms-voice-v2,pinpoint-sms-voice-v2,,,,none
pinpoint-sms-voice-v2.registration_section_definition,pinpoint-sms-voice-v2,pinpoint-sms-voice-v2,,,,none
pinpoint-sms-voice-v2.registration_version,pinpoint-sms-voice-v2,pinpoint-sms-voice-v2,,,,none
pinpoint-sms-voice-v2.sender_id,pinpoint-sms-voice-v2,pinpoint-sms-voice-v2,,,,none
pinpoint-sms-voice-v2.verified_destination_number,pinpoint-sms-voice-v2,pinpoint-sms-voice-v2,,,,none
pinpoint-sms-voice.configuration_set_event_destination,pinpoint-sms-voice,pinpoint-sms-voice,,,,none
pipes.pipe,pipes,pipes,,,,none
pricing.attribute_value,pricing,pricing,,,,none
pricing.price_list,pricing,pricing,,,,none
pricing.price_list_file_url,pricing,pricing,,,,none
pricing.product,pricing,pricing,,,,none
qapps.category,qapps,qapps,,,,none
qapps.library_item,qapps,qapps,,,,none
qbusiness.application,qbusiness,qbusiness,,,,none
qbusiness.attachment,qbusiness,qbusiness,,,,none
qbusiness.chat_controls_configuration,qbusiness,qbusiness,,,,none
qbusiness.conversation,qbusiness,qbusiness,,,,none
qbusiness.data_accessor,qbusiness,qbusiness,,,,none
qbusiness.data_source,qbusiness,qbusiness,,,,none
qbusiness.data_source_sync_job,qbusiness,qbusiness,,,,none
qbusiness.document,qbusiness,qbusiness,,,,none
qbusiness.group,qbusiness,qbusiness,,,,none
qbusiness.index,qbusiness,qbusiness,,,,none
qbusiness.indice,qbusiness,qbusiness,,,,none
qbusiness.message,qbusiness,qbusiness,,,,none
qbusiness.plugin,qbusiness,qbusiness,,,,none
qbusiness.retriever,qbusiness,qbusiness,,,,none
qbusiness.subscription,qbusiness,qbusiness,,,,none
qbusiness.web_experience,qbusiness,qbusiness,,,,none
qconnect.ai_agent,qconnect,qconnect,,,,none
qconnect.ai_guardrail,qconnect,qconnect,,,,none
qconnect.ai_prompt,qconnect,qconnect,,,,none
qconnect.assistant,qconnect,qconnect,,,,none
qconnect.assistant_association,qconnect,qconnect,,,,none
qconnect.content,qconnect,qconnect,,,,none
qconnect.content_association,qconnect,qconnect,,,,none
qconnect.import_job,qconnect,qconnect,,,,none
qconnect.knowledge_base,qconnect,qconnect,,,,none
qconnect.message,qconnect,qconnect,,,,none
qconnect.message_template,qconnect,qconnect,,,,none
qconnect.query_assistant,qconnect,qconnect,,,,none
qconnect.quick_respons,qconnect,qconnect,,,,none
qconnect.quick_response,qconnect,qconnect,,,,none
qconnect.search_content,qconnect,qconnect,,,,none
qconnect.search_quick_respons,qconnect,qconnect,,,,none
qconnect.search_session,qconnect,qconnect,,,,none
qconnect.session,qconnect,qconnect,,,,none
rbin.rule,rbin,rbin,,,,none
redshift-data.statement,redshift-data,redshift-data,,,,none
redshift-data.table,redshift-data,redshift-data,,,,none
redshift-serverless.credential,redshift-serverless,redshift-serverless,,,,none
redshift-serverless.custom_domain_association,redshift-serverless,redshift-serverless,,,,none
redshift-serverless.endpoint_access,redshift-serverless,redshift-serverless,,,,none
redshift-serverless.managed_workgroup,redshift-serverless,redshift-serverless,,,,none
redshift-serverless.namespace,redshift-serverless,redshift-serverless,,,,none
redshift-serverless.recovery_point,redshift-serverless,redshift-serverless,,,,none
redshift-serverless.reservation,redshift-serverless,redshift-serverless,,,,none
redshift-serverless.resource_policy,redshift-serverless,redshift-serverless,,,,none
redshift-serverless.scheduled_action,redshift-serverless,redshift-serverless,,,,none
redshift-serverless.snapshot,redshift-serverless,redshift-serverless,,,,none
redshift-serverless.snapshot_copy_configuration,redshift-serverless,redshift-serverless,,,,none
redshift-serverless.table_restore_status,redshift-serverless,redshift-serverless,,,,none
redshift-serverless.track,redshift-serverless,redshift-serverless,,,,none
redshift-serverless.workgroup,redshift-serverless,redshift-serverless,,,,none
repostspace.space,repostspace,repostspace,,,,none
required.resource,required,required,,,,none
resiliencehub.app,resiliencehub,resiliencehub,,,,none
resiliencehub.app_assessment,resiliencehub,resiliencehub,,,,none
resiliencehub.app_assessment_compliance_drift,resiliencehub,resiliencehub,,,,none
resiliencehub.app_component_compliance,resiliencehub,resiliencehub,,,,none
resiliencehub.app_input_source,resiliencehub,resiliencehub,,,,none
resiliencehub.app_version,resiliencehub,resiliencehub,,,,none
resiliencehub.app_version_app_component,resiliencehub,resiliencehub,,,,none
resiliencehub.app_version_resource,resiliencehub,resiliencehub,,,,none
resiliencehub.app_version_resource_mapping,resiliencehub,resiliencehub,,,,none
resiliencehub.app_version_resources_resolution_status,resiliencehub,resiliencehub,,,,none
resiliencehub.app_version_template,resiliencehub,resiliencehub,,,,none
resiliencehub.draft_app_version_resources_import_status,resiliencehub,resiliencehub,,,,none
resiliencehub.metrics_export,resiliencehub,resiliencehub,,,,none
resiliencehub.recommendation_template,resiliencehub,resiliencehub,,,,none
