resource,service,az_path,az_kind,zone_id_path,source
access-analyzer-finding,accessanalyzer,,,,transitive
account,account,,,,transitive
acm-certificate,acm,,,,transitive
advisor-check,support,,,,transitive
airflow,mwaa,,,,transitive
alarm,cloudwatch,,,,transitive
ami,ec2,,,,transitive
apigw-domain-name,apigateway,,,,transitive
apigwv2,apigatewayv2,,,,transitive
apigwv2-stage,apigatewayv2,,,,transitive
app-elb,elbv2,AvailabilityZones[].ZoneName,list_dict,,botocore
app-elb-target-group,elbv2,,,,transitive
app-flow,appflow,,,,transitive
appdiscovery-agent,discovery,,,,transitive
appmesh-mesh,appmesh,,,,transitive
appmesh-virtual-gateway,appmesh,,,,transitive
appstream-fleet,appstream,,,,transitive
appstream-stack,appstream,,,,transitive
artifact-domain,codeartifact,,,,transitive
artifact-repo,codeartifact,,,,transitive
asg,autoscaling,Instances[].AvailabilityZone,list_dict,,botocore
athena-named-query,athena,,,,transitive
backup-plan,backup,,,,transitive
backup-vault,backup,,,,transitive
batch-compute,batch,,,,transitive
batch-definition,batch,,,,transitive
batch-queue,batch,,,,transitive
bedrock-agent,bedrock-agent,,,,transitive
bedrock-custom-model,bedrock,,,,transitive
bedrock-customization-job,bedrock,,,,transitive
bedrock-knowledge-base,bedrock-agent,,,,transitive
budget,budgets,,,,transitive
cache-cluster,elasticache,,,,transitive
cache-snapshot,elasticache,,,,transitive
cache-subnet-group,elasticache,,,,transitive
catalog-portfolio,servicecatalog,,,,transitive
catalog-product,servicecatalog,,,,transitive
cfn,cloudformation,,,,transitive
cloud-directory,clouddirectory,,,,transitive
cloudhsm-cluster,cloudhsmv2,Hsms[].AvailabilityZone,list_dict,,botocore
cloudsearch,cloudsearch,,,,transitive
cloudtrail,cloudtrail,,,,transitive
cloudwatch-dashboard,cloudwatch,,,,transitive
codebuild,codebuild,,,,transitive
codecommit,codecommit,,,,transitive
codedeploy-app,codedeploy,,,,transitive
codedeploy-deployment,codedeploy,,,,transitive
codedeploy-group,codedeploy,,,,transitive
codepipeline,codepipeline,,,,transitive
composite-alarm,cloudwatch,,,,transitive
config-recorder,config,,,,transitive
config-rule,config,,,,transitive
connect-campaign,connectcampaigns,,,,transitive
connect-instance,connect,,,,transitive
customer-gateway,ec2,,,,transitive
datalake-location,lakeformation,,,,transitive
datapipeline,datapipeline,,,,transitive
datasync-agent,datasync,,,,transitive
datasync-task,datasync,,,,transitive
dax,dax,Nodes[].AvailabilityZone,list_dict,,botocore
devicefarm-project,devicefarm,,,,transitive
directconnect,directconnect,,,,transitive
directory,ds,VpcSettings.AvailabilityZones[],list_scalar,,botocore
distribution,cloudfront,,,,transitive
dlm-policy,dlm,,,,transitive
dms-endpoint,dms,,,,transitive
dms-instance,dms,AvailabilityZone,scalar,,botocore
dms-replication-task,dms,,,,transitive
dynamodb-backup,dynamodb,,,,transitive
dynamodb-stream,dynamodbstreams,,,,transitive
dynamodb-table,dynamodb,,,,transitive
ebs,ec2,AvailabilityZone,scalar,,botocore
ebs-snapshot,ec2,,,,transitive
ec2,ec2,Placement.AvailabilityZone,dotted,,botocore
ec2-capacity-reservation,ec2,AvailabilityZone,scalar,AvailabilityZoneId,botocore
ec2-host,ec2,AvailabilityZone,scalar,AvailabilityZoneId,botocore
ec2-reserved,ec2,AvailabilityZone,scalar,,botocore
ec2-spot-fleet-request,ec2,SpotFleetRequestConfig.LaunchSpecifications[].Placement.AvailabilityZone,list_dict,,botocore
ecr,ecr,,,,transitive
ecr-image,ecr,,,,transitive
ecs,ecs,,,,transitive
ecs-container-instance,ecs,,,,transitive
ecs-service,ecs,,,,transitive
ecs-task,ecs,,,,transitive
ecs-task-definition,ecs,,,,transitive
efs,efs,AvailabilityZoneName,scalar,AvailabilityZoneId,botocore
efs-mount-target,efs,AvailabilityZoneName,scalar,AvailabilityZoneId,botocore
eks,eks,,,,transitive
eks-nodegroup,eks,,,,transitive
elastic-ip,ec2,,,,transitive
elasticache-group,elasticache,,,,transitive
elasticbeanstalk,elasticbeanstalk,,,,transitive
elasticbeanstalk-environment,elasticbeanstalk,,,,transitive
elasticsearch,es,,,,transitive
elasticsearch-reserved,es,,,,transitive
elb,elb,AvailabilityZones[],list_scalar,,botocore
emr,emr,,,,transitive
emr-security-configuration,emr,,,,transitive
emr-serverless-app,emr-serverless,,,,transitive
eni,ec2,AvailabilityZone,scalar,,botocore
event-bus,events,,,,transitive
event-rule,events,,,,transitive
event-rule-target,events,,,,transitive
firehose,firehose,,,,transitive
firewall,network-firewall,,,,transitive
fis-experiment,fis,,,,transitive
fis-template,fis,,,,transitive
flow-log,ec2,,,,transitive
fsx,fsx,,,,transitive
fsx-backup,fsx,,,,transitive
gamelift-build,gamelift,,,,transitive
gamelift-fleet,gamelift,,,,transitive
glacier,glacier,,,,transitive
glue-catalog,glue,,,,transitive
glue-classifier,glue,,,,transitive
glue-connection,glue,PhysicalConnectionRequirements.AvailabilityZone,dotted,,botocore
glue-crawler,glue,,,,transitive
glue-database,glue,,,,transitive
glue-dev-endpoint,glue,AvailabilityZone,scalar,,botocore
glue-job,glue,,,,transitive
glue-ml-transform,glue,,,,transitive
glue-security-configuration,glue,,,,transitive
glue-table,glue,,,,transitive
glue-trigger,glue,,,,transitive
glue-workflow,glue,,,,transitive
graphql-api,appsync,,,,transitive
guardduty-finding,guardduty,,,,transitive
health-event,health,availabilityZone,scalar,,botocore
healthcheck,route53,,,,transitive
hostedzone,route53,,,,transitive
hsm,cloudhsm,,,,transitive
hsm-client,cloudhsm,,,,transitive
hsm-hapg,cloudhsm,,,,transitive
iam-certificate,iam,,,,transitive
iam-group,iam,,,,transitive
iam-oidc-provider,iam,,,,transitive
iam-policy,iam,,,,transitive
iam-profile,iam,,,,transitive
iam-role,iam,,,,transitive
iam-saml-provider,iam,,,,transitive
iam-user,iam,,,,transitive
identity-pool,cognito-identity,,,,transitive
insight-rule,cloudwatch,,,,transitive
inspector2-finding,inspector2,,,,transitive
internet-gateway,ec2,,,,transitive
iot,iot,,,,transitive
kafka,kafka,,,,transitive
key-pair,ec2,,,,transitive
kinesis,kinesis,,,,transitive
kinesis-analytics,kinesisanalytics,,,,transitive
kinesis-analyticsv2,kinesisanalyticsv2,,,,transitive
kinesis-video,kinesisvideo,,,,transitive
kms,kms,,,,transitive
kms-key,kms,,,,transitive
lambda,lambda,,,,transitive
lambda-layer,lambda,,,,transitive
launch-config,autoscaling,,,,transitive
launch-template-version,ec2,,,,transitive
lex-bot,lex-models,,,,transitive
lightsail-db,lightsail,location.availabilityZone,dotted,,botocore
lightsail-elb,lightsail,location.availabilityZone,dotted,,botocore
lightsail-instance,lightsail,location.availabilityZone,dotted,,botocore
log-group,logs,,,,transitive
log-metric,logs,,,,transitive
message-broker,mq,,,,transitive
message-config,mq,,,,transitive
mirror-session,ec2,,,,transitive
mirror-target,ec2,,,,transitive
ml-model,machinelearning,,,,transitive
nat-gateway,ec2,,,,transitive
network-acl,ec2,,,,transitive
opensearch-serverless,opensearchserverless,,,,transitive
ops-item,ssm,,,,transitive
opswork-cm,opsworkscm,,,,transitive
opswork-stack,opsworks,,,,transitive
org-account,organizations,,,,transitive
org-policy,organizations,,,,transitive
org-unit,organizations,,,,transitive
peering-connection,ec2,,,,transitive
pinpoint-app,pinpoint,,,,transitive
prefix-list,ec2,,,,transitive
qldb,qldb,,,,transitive
quicksight-group,quicksight,,,,transitive
quicksight-user,quicksight,,,,transitive
r53domain,route53domains,,,,transitive
rds,rds,AvailabilityZone,scalar,,botocore
