resource,service,az_path,az_kind,zone_id_path,source
rds-cluster,rds,AvailabilityZones[],list_scalar,,botocore
rds-cluster-param-group,rds,,,,transitive
rds-cluster-snapshot,rds,AvailabilityZones[],list_scalar,,botocore
rds-param-group,rds,,,,transitive
rds-proxy,rds,,,,transitive
rds-reserved,rds,,,,transitive
rds-snapshot,rds,AvailabilityZone,scalar,,botocore
rds-subnet-group,rds,,,,transitive
rds-subscription,rds,,,,transitive
readiness-check,route53-recovery-readiness,,,,transitive
recovery-cluster,route53-recovery-control-config,,,,transitive
recovery-control-panel,route53-recovery-control-config,,,,transitive
redshift,redshift,AvailabilityZone,scalar,,botocore
redshift-reserved,redshift,,,,transitive
redshift-snapshot,redshift,AvailabilityZone,scalar,,botocore
redshift-subnet-group,redshift,,,,transitive
resolver-logs,route53resolver,,,,transitive
rest-account,apigateway,,,,transitive
rest-api,apigateway,,,,transitive
rest-client-certificate,apigateway,,,,transitive
rest-resource,apigateway,,,,transitive
rest-stage,apigateway,,,,transitive
rest-vpclink,apigateway,,,,transitive
route-table,ec2,,,,transitive
rrset,route53,,,,transitive
s3,s3,,,,transitive
s3-access-point,s3control,,,,transitive
s3-access-point-multi,s3control,,,,transitive
s3-directory,s3,,,,transitive
s3-storage-lens,s3control,,,,transitive
sagemaker-endpoint,sagemaker,,,,transitive
sagemaker-endpoint-config,sagemaker,,,,transitive
sagemaker-job,sagemaker,,,,transitive
sagemaker-model,sagemaker,,,,transitive
sagemaker-notebook,sagemaker,,,,transitive
sagemaker-transform-job,sagemaker,,,,transitive
scaling-policy,autoscaling,,,,transitive
secrets-manager,secretsmanager,,,,transitive
security-group,ec2,,,,transitive
securityhub-finding,securityhub,Resources[].Details.AwsEc2Subnet.AvailabilityZone,list_dict,Resources[].Details.AwsEc2Subnet.AvailabilityZoneId,botocore
serverless-app,serverlessrepo,,,,transitive
service-quota,service-quotas,,,,transitive
service-quota-request,service-quotas,,,,transitive
ses-configuration-set,ses,,,,transitive
ses-email-identity,sesv2,,,,transitive
ses-receipt-rule-set,ses,,,,transitive
shield-attack,shield,,,,transitive
shield-protection,shield,,,,transitive
simpledb,sdb,,,,transitive
snowball,snowball,,,,transitive
snowball-cluster,snowball,,,,transitive
sns,sns,,,,transitive
sns-subscription,sns,,,,transitive
sqs,sqs,,,,transitive
ssm-activation,ssm,,,,transitive
ssm-data-sync,ssm,,,,transitive
ssm-document,ssm,,,,transitive
ssm-managed-instance,ssm,,,,transitive
ssm-parameter,ssm,,,,transitive
ssm-patch-group,ssm,,,,transitive
ssm-session-manager,ssm,,,,transitive
step-machine,stepfunctions,,,,transitive
storage-gateway,storagegateway,,,,transitive
streaming-distribution,cloudfront,,,,transitive
subnet,ec2,AvailabilityZone,scalar,AvailabilityZoneId,botocore
support-case,support,,,,transitive
swf-domain,swf,,,,transitive
timestream-database,timestream-write,,,,transitive
timestream-table,timestream-write,,,,transitive
transfer-server,transfer,,,,transitive
transfer-user,transfer,,,,transitive
transit-attachment,ec2,,,,transitive
transit-gateway,ec2,,,,transitive
user-pool,cognito-idp,,,,transitive
vpc,ec2,,,,transitive
vpc-endpoint,ec2,,,,transitive
vpn-connection,ec2,,,,transitive
vpn-gateway,ec2,AvailabilityZone,scalar,,botocore
waf,waf,,,,transitive
waf-regional,waf-regional,,,,transitive
wafv2,wafv2,,,,transitive
workspaces,workspaces,,,,transitive
workspaces-directory,workspaces,,,,transitive
workspaces-image,workspaces,,,,transitive
workspaces-web,workspaces-web,,,,transitive
xray-group,xray,,,,transitive
xray-rule,xray,,,,transitive
