resource,service,id_field,name_field,id_prefix,arn_field,arn_type,arn_separator,global_resource,has_arn,strategy
redshift-subnet-group,redshift,ClusterSubnetGroupName,ClusterSubnetGroupName,,,subnetgroup,:,false,true,construct
resolver-logs,route53resolver,Id,Name,,,resolver-query-log-config,/,false,true,construct
rest-account,apigateway,account_id,account_id,,,,/,false,false,none
rest-api,apigateway,id,name,,,/restapis,/,false,true,construct
rest-client-certificate,apigateway,clientCertificateId,client_certificate_id,,,,/,false,true,construct
rest-resource,apigateway,id,path,,,,/,false,true,construct
rest-stage,apigateway,deploymentId,stageName,,,stages,/,false,true,construct
rest-vpclink,apigateway,id,name,,,,/,false,true,construct
route-table,ec2,RouteTableId,RouteTableId,rtb-,,route-table,/,false,true,construct
rrset,route53,Name,Name,,,rrset,/,true,true,construct
s3,s3,Name,Name,,,,/,false,true,construct
s3-access-point,s3control,Name,Name,,AccessPointArn,accesspoint,/,false,true,field
s3-access-point-multi,s3control,Name,Name,,,accesspoint,/,false,true,construct
s3-directory,s3,Name,Name,,,bucket,/,false,true,construct
s3-storage-lens,s3control,Id,Id,,StorageLensArn,storage-lens,/,false,true,field
sagemaker-endpoint,sagemaker,EndpointArn,EndpointName,,EndpointArn,,/,false,true,field
sagemaker-endpoint-config,sagemaker,EndpointConfigArn,EndpointConfigName,,EndpointConfigArn,,/,false,true,field
sagemaker-job,sagemaker,TrainingJobArn,TrainingJobName,,TrainingJobArn,,/,false,true,field
sagemaker-model,sagemaker,ModelArn,ModelName,,ModelArn,,/,false,true,field
sagemaker-notebook,sagemaker,NotebookInstanceArn,NotebookInstanceName,,NotebookInstanceArn,,/,false,true,field
sagemaker-transform-job,sagemaker,TransformJobArn,TransformJobName,,TransformJobArn,transform-job,/,false,true,field
scaling-policy,autoscaling,PolicyName,PolicyName,,,scalingPolicy,/,false,true,construct
secrets-manager,secretsmanager,Name,Name,,ARN,,/,false,true,field
security-group,ec2,GroupId,GroupName,sg-,,security-group,/,false,true,construct
securityhub-finding,securityhub,Id,ProductName,,,,/,false,false,none
serverless-app,serverlessrepo,ApplicationId,Name,,ApplicationId,,/,false,true,field
