source_resource,source_path,path_kind,target_resource,edge_type,source,confidence,evidence,needs_validation,also_declared_by
security-group,IpPermissionsEgress[].UserIdGroupPairs[].VpcId,list_nested,vpc,contained-in,asff,high,securityhub.GetFindings: 'VPC for the referenced security group',true,doc
security-group,IpPermissions[].UserIdGroupPairs[].VpcId,list_nested,vpc,contained-in,asff,high,securityhub.GetFindings: 'VPC for the referenced security group',true,doc
security-group,VpcId,scalar,vpc,contained-in,hand,high,hand-authored from API response shape,true,"asff,doc"
service-quota,QuotaCode,scalar,service-quota-request,references,c7n,high,aws.service-quota.filters.request-history,false,
sns,KmsMasterKeyId,scalar,kms-key,encrypted-by,c7n,high,aws.sns.filters.kms-key,false,
sns-subscription,TopicArn,scalar,sns,references,c7n,high,aws.sns-subscription.filters.topic,false,
sqs,KmsMasterKeyId,scalar,kms-key,encrypted-by,c7n,high,aws.sqs.filters.kms-key,false,
ssm-data-sync,S3Destination.AWSKMSKeyARN,dotted,kms-key,encrypted-by,c7n,high,aws.ssm-data-sync.filters.kms-key,false,
subnet,VpcId,scalar,vpc,contained-in,c7n,high,aws.subnet.filters.vpc,false,"asff,doc,hand"
subnet,SubnetId,scalar,vpc-endpoint,references,c7n,high,aws.subnet.filters.vpc-endpoint,false,
transit-attachment,Association.TransitGatewayRouteTableId,dotted,route-table,references,doc,medium,ec2.DescribeTransitGatewayAttachments: 'route table for the transit gateway',true,
transit-attachment,SubnetIds.items,dotted,subnet,contained-in,cfn,high,AWS::EC2::TransitGatewayAttachment/properties/SubnetIds/items,true,
vpc,[InternetGateways][].InternetGatewayId,list_dict,internet-gateway,references,c7n,high,aws.vpc.filters.internet-gateway,false,
vpc,[NatGateways][].NatGatewayId,list_dict,nat-gateway,references,c7n,high,aws.vpc.filters.nat-gateway,false,
vpc,[SecurityGroups][].GroupId,list_dict,security-group,protected-by,c7n,high,aws.vpc.filters.security-group,false,
vpc,[Subnets][].SubnetId,list_dict,subnet,contained-in,c7n,high,aws.vpc.filters.subnet,false,
vpc,VpcId,scalar,vpc-endpoint,references,c7n,high,aws.vpc.filters.vpc-endpoint,false,
vpc-endpoint,RouteTableIds.items,dotted,route-table,references,cfn,high,AWS::EC2::VPCEndpoint/properties/RouteTableIds/items,true,
vpc-endpoint,Groups[].GroupId,list_dict,security-group,protected-by,c7n,high,aws.vpc-endpoint.filters.security-group,false,doc
vpc-endpoint,Groups[].GroupName,list_dict,security-group,protected-by,doc,medium,ec2.DescribeVpcEndpoints: 'security group',true,
vpc-endpoint,SecurityGroupIds.items.anyOf[0],dotted,security-group,protected-by,cfn,high,AWS::EC2::VPCEndpoint/properties/SecurityGroupIds/items/anyOf[0],true,
vpc-endpoint,SecurityGroupIds.items.anyOf[1],dotted,security-group,protected-by,cfn,high,AWS::EC2::VPCEndpoint/properties/SecurityGroupIds/items/anyOf[1],true,
vpc-endpoint,SubnetIds.items,dotted,subnet,contained-in,cfn,high,AWS::EC2::VPCEndpoint/properties/SubnetIds/items,true,
vpc-endpoint,SubnetIds[],list_scalar,subnet,contained-in,c7n,high,aws.vpc-endpoint.filters.subnet,false,
vpc-endpoint,SecurityGroupIds.items.anyOf[2],dotted,vpc,contained-in,cfn,high,AWS::EC2::VPCEndpoint/properties/SecurityGroupIds/items/anyOf[2],true,
vpc-endpoint,VpcId,scalar,vpc,contained-in,c7n,high,aws.vpc-endpoint.filters.vpc,false,doc
vpn-gateway,VpcAttachments[].VpcId,list_dict,vpc,contained-in,doc,medium,ec2.DescribeVpnGateways: 'VPC',true,
workspaces,VolumeEncryptionKey,scalar,kms-key,encrypted-by,c7n,high,aws.workspaces.filters.kms-key,false,
workspaces,SubnetId,scalar,subnet,contained-in,doc,medium,workspaces.DescribeWorkspaces: 'subnet for the WorkSpace',true,
workspaces-directory,IamRoleId,scalar,iam-role,assumes,doc,medium,workspaces.DescribeWorkspaceDirectories: 'IAM role',true,
workspaces-directory,,,security-group,protected-by,c7n,declared-no-path,aws.workspaces-directory.filters.security-group,true,
workspaces-directory,SubnetIds[],list_scalar,subnet,contained-in,c7n,high,aws.workspaces-directory.filters.subnet,false,
workspaces-image,ImageId,scalar,ami,launched-from,doc,medium,workspaces.DescribeWorkspaceImages: 'image',true,
flow-log,ResourceId,scalar,vpc,contained-in,hand,high,DescribeFlowLogs.ResourceId names the VPC the log observes,true,
flow-log,ResourceId,scalar,subnet,contained-in,hand,high,a flow log can be scoped to a subnet instead of a VPC,true,
route53resolver-config,ResourceId,scalar,vpc,contained-in,hand,high,resolver config is per-VPC; ResourceId is the VPC it configures,true,
asg,VPCZoneIdentifier,scalar,subnet,contained-in,hand,high,VPCZoneIdentifier is the comma-joined list of subnets the group launches into,true,
eks-nodegroup,clusterName,scalar,eks,contained-in,hand,high,"eks.DescribeNodegroup: the cluster this node pool belongs to",true,
eks-nodegroup,resources.autoScalingGroups[].name,list_dict,asg,references,hand,high,"eks.DescribeNodegroup: the scaling group EKS created to hold this pool's instances - the only collected link between a cluster and the EC2 that runs it",true,
eks-nodegroup,subnets[],list_scalar,subnet,contained-in,hand,high,"eks.DescribeNodegroup: the subnets this node pool launches into, which is what makes a cluster span zones",true,
eks-nodegroup,nodeRole,scalar,iam-role,assumes,hand,high,"eks.DescribeNodegroup: the role every node in this pool assumes",true,
eni,Attachment.InstanceId,dotted,ec2,attached-to,hand,high,"ec2.DescribeNetworkInterfaces: an in-use interface names the instance it is attached to - without it, twelve attached interfaces drew as free-floating",true,
elbv2-listener,LoadBalancerArn,scalar,app-elb,attached-to,hand,high,"elbv2.DescribeListeners: a listener belongs to exactly one load balancer and says which in its own payload",true,
step-machine,definition,document,lambda,references,hand,high,"states.DescribeStateMachine: the definition names every resource the workflow invokes; ARNs without an account are service integrations, not members",true,
step-machine,definition,document,sns,references,hand,high,"states.DescribeStateMachine: a workflow that publishes to a topic",true,
step-machine,definition,document,sqs,references,hand,high,"states.DescribeStateMachine: a workflow that enqueues",true,
