source_resource,source_path,path_kind,target_resource,edge_type,source,confidence,evidence,needs_validation,also_declared_by
elastic-ip,InstanceId,scalar,ec2,references,asff,high,securityhub.GetFindings: 'EC2 instance',true,doc
elastic-ip,NetworkInterfaceId,scalar,eni,attached-to,asff,high,securityhub.GetFindings: 'network interface',true,doc
elasticache-group,KmsKeyId,scalar,kms-key,encrypted-by,c7n,high,aws.elasticache-group.filters.kms-key,false,
elasticsearch,EncryptionAtRestOptions.KmsKeyId,dotted,kms-key,encrypted-by,c7n,high,aws.elasticsearch.filters.kms-key,false,
elasticsearch,VPCOptions.SecurityGroupIds[],list_scalar,security-group,protected-by,c7n,high,aws.elasticsearch.filters.security-group,false,
elasticsearch,VPCOptions.SubnetIds[],list_scalar,subnet,contained-in,c7n,high,aws.elasticsearch.filters.subnet,false,
elasticsearch,VPCOptions.VPCId,dotted,vpc,contained-in,c7n,high,aws.elasticsearch.filters.vpc,false,asff
elb,SecurityGroups[],list_scalar,security-group,protected-by,c7n,high,aws.elb.filters.security-group,false,
elb,SourceSecurityGroup.GroupName,dotted,security-group,protected-by,asff,high,securityhub.GetFindings: 'security group',true,doc
elb,Subnets[],list_scalar,subnet,contained-in,c7n,high,aws.elb.filters.subnet,false,
elb,VPCId,scalar,vpc,contained-in,c7n,high,aws.elb.filters.vpc,false,doc
elb,VpcId,scalar,vpc,contained-in,asff,medium,securityhub.GetFindings: 'VPC for the load balancer',true,
emr,,,security-group,protected-by,c7n,declared-no-path,aws.emr.filters.security-group,true,
emr,Ec2InstanceAttributes.RequestedEc2SubnetIds[],list_scalar,subnet,contained-in,c7n,high,aws.emr.filters.subnet,false,
eni,Attachment.InstanceId,dotted,ec2,attached-to,hand,high,hand-authored from API response shape,true,"asff,doc"
eni,Groups[].GroupId,list_dict,security-group,protected-by,c7n,high,aws.eni.filters.security-group,false,doc
eni,Groups[].GroupName,list_dict,security-group,protected-by,doc,medium,ec2.DescribeNetworkInterfaces: 'security group',true,
eni,SecurityGroups[].GroupId,list_dict,security-group,protected-by,asff,medium,securityhub.GetFindings: 'security group',true,
eni,SecurityGroups[].GroupName,list_dict,security-group,protected-by,asff,medium,securityhub.GetFindings: 'security group',true,
eni,SubnetId,scalar,subnet,contained-in,c7n,high,aws.eni.filters.subnet,false,doc
eni,VpcId,scalar,vpc,contained-in,c7n,high,aws.eni.filters.vpc,false,doc
event-rule,Name,scalar,event-rule-target,references,c7n,high,aws.event-rule.filters.event-rule-target,false,c7n
firehose,definitions.ElasticsearchDestinationConfigurationDomainARN.anyOf[0],dotted,elasticsearch,references,cfn,high,AWS::KinesisFirehose::DeliveryStream/definitions/ElasticsearchDestinationConfiguration/properties/DomainARN/anyOf[0],true,
firehose,definitions.ProcessorParameterParameterValue.anyOf[1],dotted,iam-role,assumes,cfn,high,AWS::KinesisFirehose::DeliveryStream/definitions/ProcessorParameter/properties/ParameterValue/anyOf[1],true,
firehose,DeliveryStreamEncryptionConfiguration.KeyARN,dotted,kms-key,encrypted-by,c7n,high,aws.firehose.filters.kms-key,false,
firehose,definitions.ProcessorParameterParameterValue.anyOf[0],dotted,lambda,references,cfn,high,AWS::KinesisFirehose::DeliveryStream/definitions/ProcessorParameter/properties/ParameterValue/anyOf[0],true,
firehose,definitions.VpcConfigurationSecurityGroupIds.items,dotted,security-group,protected-by,cfn,high,AWS::KinesisFirehose::DeliveryStream/definitions/VpcConfiguration/properties/SecurityGroupIds/items,true,
firehose,definitions.VpcConfigurationSubnetIds.items,dotted,subnet,contained-in,cfn,high,AWS::KinesisFirehose::DeliveryStream/definitions/VpcConfiguration/properties/SubnetIds/items,true,
firewall,SubnetMappings[].SubnetId,list_dict,subnet,contained-in,c7n,high,aws.firewall.filters.subnet,false,
firewall,VpcId,scalar,vpc,contained-in,c7n,high,aws.firewall.filters.vpc,false,asff
fsx,AdministrativeActions[].TargetSnapshotValues.VolumeId,list_dict,ebs,attached-to,doc,medium,fsx.DescribeFileSystems: 'volume that the snapshot is of',true,
fsx,AdministrativeActions[].TargetVolumeValues.VolumeId,list_dict,ebs,attached-to,doc,medium,fsx.DescribeFileSystems: 'volume',true,
fsx,AdministrativeActions[].TargetSnapshotValues.SnapshotId,list_dict,ebs-snapshot,created-from,doc,medium,fsx.DescribeFileSystems: 'snapshot',true,
fsx,AdministrativeActions[].TargetFileSystemValues.KmsKeyId,list_dict,kms-key,encrypted-by,doc,medium,fsx.DescribeFileSystems: 'Key Management Service',true,
fsx,KmsKeyId,scalar,kms-key,encrypted-by,c7n,high,aws.fsx.filters.kms-key,false,doc
fsx,SubnetIds[],list_scalar,subnet,contained-in,c7n,high,aws.fsx.filters.subnet,false,
fsx,AdministrativeActions[].TargetFileSystemValues.VpcId,list_dict,vpc,contained-in,doc,medium,fsx.DescribeFileSystems: 'primary virtual private cloud',true,
fsx,VpcId,scalar,vpc,contained-in,doc,medium,fsx.DescribeFileSystems: 'primary virtual private cloud',true,
fsx-backup,FileSystem.AdministrativeActions[].TargetSnapshotValues.VolumeId,list_dict,ebs,attached-to,doc,medium,fsx.DescribeBackups: 'volume that the snapshot is of',true,
fsx-backup,FileSystem.AdministrativeActions[].TargetVolumeValues.VolumeId,list_dict,ebs,attached-to,doc,medium,fsx.DescribeBackups: 'volume',true,
fsx-backup,Volume.AdministrativeActions[].TargetSnapshotValues.VolumeId,list_dict,ebs,attached-to,doc,medium,fsx.DescribeBackups: 'volume that the snapshot is of',true,
fsx-backup,Volume.AdministrativeActions[].TargetVolumeValues.VolumeId,list_dict,ebs,attached-to,doc,medium,fsx.DescribeBackups: 'volume',true,
fsx-backup,Volume.VolumeId,dotted,ebs,attached-to,doc,medium,fsx.DescribeBackups: 'volume',true,
fsx-backup,FileSystem.AdministrativeActions[].TargetSnapshotValues.SnapshotId,list_dict,ebs-snapshot,created-from,doc,medium,fsx.DescribeBackups: 'snapshot',true,
fsx-backup,Volume.AdministrativeActions[].TargetSnapshotValues.SnapshotId,list_dict,ebs-snapshot,created-from,doc,medium,fsx.DescribeBackups: 'snapshot',true,
fsx-backup,FileSystem.AdministrativeActions[].TargetFileSystemValues.KmsKeyId,list_dict,kms-key,encrypted-by,doc,medium,fsx.DescribeBackups: 'Key Management Service',true,
fsx-backup,FileSystem.KmsKeyId,dotted,kms-key,encrypted-by,doc,medium,fsx.DescribeBackups: 'Key Management Service',true,
