source_key,source_c7n,source_service,source_path,path_kind,target_key,target_c7n,edge_type,source,confidence,resolution,operation,evidence
accessanalyzer.access_preview,,accessanalyzer,accessPreview.analyzerArn,dotted,accessanalyzer.analyzer,,references,doc,medium,service-exact,get_access_preview,accessanalyzer.GetAccessPreview
accessanalyzer.access_preview,,accessanalyzer,analyzerArn,scalar,accessanalyzer.analyzer,,references,doc,medium,service-exact,list_access_previews,accessanalyzer.ListAccessPreviews
accessanalyzer.generated_policy,,accessanalyzer,generatedPolicyResult.properties.cloudTrailProperties.trailProperties[].cloudTrailArn,list_dict,cloudtrail.trail,cloudtrail,references,doc,medium,global-exact,get_generated_policy,accessanalyzer.GetGeneratedPolicy
acm-pca.certificate_authority,,acm-pca,CertificateAuthority.RevocationConfiguration.CrlConfiguration.S3BucketName,dotted,s3.bucket,s3,references,doc,medium,well-known,describe_certificate_authority,acm-pca.DescribeCertificateAuthority
acm-pca.certificate_authority,,acm-pca,RevocationConfiguration.CrlConfiguration.S3BucketName,dotted,s3.bucket,s3,references,doc,medium,well-known,list_certificate_authorities,acm-pca.ListCertificateAuthorities
acm-pca.certificate_authority,,acm-pca,S3BucketName,scalar,s3.bucket,s3,references,doc,medium,well-known,describe_certificate_authority_audit_report,acm-pca.DescribeCertificateAuthorityAuditReport
amplify.app,,amplify,app.productionBranch.branchName,dotted,amplify.branch,,references,doc,medium,service-partial,get_app,amplify.GetApp
amplify.app,,amplify,productionBranch.branchName,dotted,amplify.branch,,references,doc,medium,service-partial,list_apps,amplify.ListApps
amplify.app,,amplify,app.autoBranchCreationConfig.pullRequestEnvironmentName,dotted,codecommit.pull_request,,references,doc,medium,global-exact,get_app,amplify.GetApp
amplify.app,,amplify,autoBranchCreationConfig.pullRequestEnvironmentName,dotted,codecommit.pull_request,,references,doc,medium,global-exact,list_apps,amplify.ListApps
amplify.branch,,amplify,branch.pullRequestEnvironmentName,dotted,codecommit.pull_request,,references,doc,medium,global-exact,get_branch,amplify.GetBranch
amplify.branch,,amplify,pullRequestEnvironmentName,scalar,codecommit.pull_request,,references,doc,medium,global-exact,list_branches,amplify.ListBranches
amplify.domain_association,,amplify,domainAssociation.domainName,dotted,amplify.domain,,references,doc,medium,service-exact,get_domain_association,amplify.GetDomainAssociation
amplify.domain_association,,amplify,domainName,scalar,amplify.domain,,references,doc,medium,service-exact,list_domain_associations,amplify.ListDomainAssociations
amplifybackend.backend_api,,amplifybackend,BackendEnvironmentName,scalar,amplifybackend.backend,,references,doc,medium,service-exact,get_backend_api,amplifybackend.GetBackendAPI
amplifybackend.backend_auth,,amplifybackend,BackendEnvironmentName,scalar,amplifybackend.backend,,references,doc,medium,service-exact,get_backend_auth,amplifybackend.GetBackendAuth
amplifybackend.backend_job,,amplifybackend,BackendEnvironmentName,scalar,amplifybackend.backend,,references,doc,medium,service-exact,get_backend_job,amplifybackend.GetBackendJob
amplifybackend.backend_storage,,amplifybackend,BackendEnvironmentName,scalar,amplifybackend.backend,,references,doc,medium,service-exact,get_backend_storage,amplifybackend.GetBackendStorage
amplifybackend.backend_storage,,amplifybackend,ResourceConfig.BucketName,dotted,s3.bucket,s3,references,doc,medium,well-known,get_backend_storage,amplifybackend.GetBackendStorage
amplifybackend.s3_bucket,,amplifybackend,Name,scalar,s3.bucket,s3,references,doc,medium,well-known,list_s3_buckets,amplifybackend.ListS3Buckets
apigateway.base_path_mapping,,apigateway,restApiId,scalar,apigateway.rest_api,rest-api,references,doc,medium,service-partial,get_base_path_mapping,apigateway.GetBasePathMapping
apigateway.resource,rest-resource,apigateway,restApiId,scalar,apigateway.rest_api,rest-api,contained-in,parent_spec,high,declared,,c7n parent_spec of rest-resource
apigateway.stage,rest-stage,apigateway,canarySettings.deploymentId,dotted,apigateway.deployment,,references,doc,medium,service-partial,get_stage,apigateway.GetStage
apigateway.stage,rest-stage,apigateway,deploymentId,scalar,apigateway.deployment,,references,doc,medium,service-exact,get_stage,apigateway.GetStage
