source_key,source_c7n,source_service,source_path,path_kind,target_key,target_c7n,edge_type,source,confidence,resolution,operation,evidence
apigateway.stage,rest-stage,apigateway,restApiId,scalar,apigateway.rest_api,rest-api,contained-in,parent_spec,high,declared,,c7n parent_spec of rest-stage
apigatewayv2.domain_name,,apigatewayv2,ApiGatewayDomainName,scalar,apigatewayv2.api,apigwv2,references,doc,medium,service-exact,get_domain_name,apigatewayv2.GetDomainName
apigatewayv2.domain_name,,apigatewayv2,DomainNameConfigurations[].ApiGatewayDomainName,list_dict,apigatewayv2.api,apigwv2,references,doc,medium,service-exact,get_domain_names,apigatewayv2.GetDomainNames
apigatewayv2.integration,,apigatewayv2,ConnectionId,scalar,ec2.vpc,vpc,contained-in,doc,medium,well-known,get_integration,apigatewayv2.GetIntegration
apigatewayv2.stage,apigwv2-stage,apigatewayv2,ApiId,scalar,apigatewayv2.api,apigwv2,contained-in,parent_spec,high,declared,,c7n parent_spec of apigwv2-stage
apigatewayv2.stage,apigwv2-stage,apigatewayv2,DeploymentId,scalar,apigatewayv2.deployment,,references,doc,medium,service-exact,get_stage,apigatewayv2.GetStage
apigatewayv2.vpc_link,,apigatewayv2,Name,scalar,ec2.vpc,vpc,contained-in,doc,medium,well-known,get_vpc_link,apigatewayv2.GetVpcLink
apigatewayv2.vpc_link,,apigatewayv2,VpcLinkId,scalar,ec2.vpc,vpc,contained-in,doc,medium,well-known,get_vpc_link,apigatewayv2.GetVpcLink
appconfig.configuration_profile,,appconfig,KmsKeyArn,scalar,kms.key,kms-key,encrypted-by,doc,medium,leaf-hint,get_configuration_profile,appconfig.GetConfigurationProfile
appconfig.deployment,,appconfig,ApplicationId,scalar,appconfig.application,,references,doc,medium,service-exact,get_deployment,appconfig.GetDeployment
appconfig.deployment,,appconfig,ConfigurationName,scalar,appconfig.configuration,,references,doc,medium,service-exact,get_deployment,appconfig.GetDeployment
appconfig.deployment,,appconfig,ConfigurationProfileId,scalar,appconfig.configuration,,references,doc,medium,service-exact,get_deployment,appconfig.GetDeployment
appconfig.deployment,,appconfig,EnvironmentId,scalar,appconfig.environment,,references,doc,medium,service-exact,get_deployment,appconfig.GetDeployment
appconfig.deployment,,appconfig,AppliedExtensions[].ExtensionId,list_dict,appconfig.extension,,references,doc,medium,service-exact,get_deployment,appconfig.GetDeployment
appconfig.deployment,,appconfig,AppliedExtensions[].ExtensionAssociationId,list_dict,appconfig.extension_association,,references,doc,medium,service-partial,get_deployment,appconfig.GetDeployment
appconfig.deployment,,appconfig,KmsKeyArn,scalar,kms.key,kms-key,encrypted-by,doc,medium,leaf-hint,get_deployment,appconfig.GetDeployment
appconfig.extension_association,,appconfig,ExtensionArn,scalar,appconfig.extension,,references,doc,medium,service-exact,get_extension_association,appconfig.GetExtensionAssociation
appconfig.hosted_configuration_version,,appconfig,KmsKeyArn,scalar,kms.key,kms-key,encrypted-by,doc,medium,leaf-hint,get_hosted_configuration_version,appconfig.GetHostedConfigurationVersion
appflow.connector_entity,,appflow,parentIdentifier,scalar,appflow.connector,,references,doc,medium,service-exact,describe_connector_entity,appflow.DescribeConnectorEntity
appflow.flow,,appflow,sourceFlowConfig.sourceConnectorProperties.CustomConnector.dataTransferApi.Name,dotted,appflow.connector,,references,doc,medium,service-exact,describe_flow,appflow.DescribeFlow
appflow.flow_execution_record,,appflow,executionId,scalar,appflow.flow,,references,doc,medium,service-partial,describe_flow_execution_records,appflow.DescribeFlowExecutionRecords
appintegrations.event_integration_association,,appintegrations,EventIntegrationName,scalar,appintegrations.event_integration,,references,doc,medium,service-exact,list_event_integration_associations,appintegrations.ListEventIntegrationAssociations
application-autoscaling.scaling_policy,,application-autoscaling,TargetTrackingScalingPolicyConfiguration.CustomizedMetricSpecification.Dimensions[].Name,list_dict,iot.dimension,,references,doc,medium,global-exact,describe_scaling_policies,application-autoscaling.DescribeScalingPolicies
application-autoscaling.scheduled_action,,application-autoscaling,ResourceId,scalar,application-autoscaling.scaling_policy,,references,doc,medium,service-partial,describe_scheduled_actions,application-autoscaling.DescribeScheduledActions
application-insights.log_pattern,,application-insights,ResourceGroupName,scalar,inspector.resource_group,,references,doc,medium,global-exact,describe_log_pattern,application-insights.DescribeLogPattern
application-insights.log_pattern_set,,application-insights,ResourceGroupName,scalar,inspector.resource_group,,references,doc,medium,global-exact,list_log_pattern_sets,application-insights.ListLogPatternSets
application-insights.problem,,application-insights,ResourceGroupName,scalar,inspector.resource_group,,references,doc,medium,global-exact,list_problems,application-insights.ListProblems
application-insights.problem_observation,,application-insights,RelatedObservations.ObservationList[].Id,list_dict,application-insights.observation,,references,doc,medium,service-exact,describe_problem_observations,application-insights.DescribeProblemObservations
application-insights.problem_observation,,application-insights,RelatedObservations.ObservationList[].S3EventName,list_dict,application-insights.observation,,references,doc,medium,service-partial,describe_problem_observations,application-insights.DescribeProblemObservations
application-insights.workload,,application-insights,ComponentName,scalar,application-insights.component,,references,doc,medium,service-exact,list_workloads,application-insights.ListWorkloads
applicationcostprofiler.report_definition,,applicationcostprofiler,reportId,scalar,artifact.report,,references,doc,medium,global-exact,get_report_definition,applicationcostprofiler.GetReportDefinition
appmesh.gateway_route,,appmesh,gatewayRoute.meshName,dotted,appmesh.mesh,appmesh-mesh,references,doc,medium,service-partial,describe_gateway_route,appmesh.DescribeGatewayRoute
appmesh.gateway_route,,appmesh,meshName,scalar,appmesh.mesh,appmesh-mesh,references,doc,medium,service-partial,list_gateway_routes,appmesh.ListGatewayRoutes
appmesh.virtual_gateway,appmesh-virtual-gateway,appmesh,meshName,scalar,appmesh.mesh,appmesh-mesh,contained-in,parent_spec,high,declared,,c7n parent_spec of appmesh-virtual-gateway
appmesh.virtual_gateway,appmesh-virtual-gateway,appmesh,virtualGatewayName,scalar,appmesh.tags_for_resource,,references,doc,medium,service-partial,list_virtual_gateways,appmesh.ListVirtualGateways
apprunner.custom_domain,,apprunner,VpcDNSTargets[].VpcId,list_dict,ec2.vpc,vpc,contained-in,doc,medium,leaf-hint,describe_custom_domains,apprunner.DescribeCustomDomains
apprunner.vpc_ingress_connection,,apprunner,VpcIngressConnection.IngressVpcConfiguration.VpcId,dotted,ec2.vpc,vpc,contained-in,doc,medium,leaf-hint,describe_vpc_ingress_connection,apprunner.DescribeVpcIngressConnection
appstream.application_fleet_association,,appstream,ApplicationArn,scalar,appstream.application,,references,doc,medium,service-exact,describe_application_fleet_associations,appstream.DescribeApplicationFleetAssociations
appstream.application_fleet_association,,appstream,FleetName,scalar,appstream.fleet,appstream-fleet,references,doc,medium,service-exact,describe_application_fleet_associations,appstream.DescribeApplicationFleetAssociations
appstream.fleet,appstream-fleet,appstream,DomainJoinInfo.DirectoryName,dotted,appstream.directory_config,,references,doc,medium,service-partial,describe_fleets,appstream.DescribeFleets
appstream.fleet,appstream-fleet,appstream,ImageName,scalar,appstream.image,,references,doc,medium,service-exact,describe_fleets,appstream.DescribeFleets
appstream.fleet,appstream-fleet,appstream,IamRoleArn,scalar,iam.role,iam-role,assumes,doc,medium,well-known,describe_fleets,appstream.DescribeFleets
appstream.image,,appstream,Applications[].AppBlockArn,list_dict,appstream.application,,references,doc,medium,service-exact,describe_images,appstream.DescribeImages
appstream.image,,appstream,Applications[].Arn,list_dict,appstream.application,,references,doc,medium,service-exact,describe_images,appstream.DescribeImages
appstream.image,,appstream,Applications[].Name,list_dict,appstream.application,,references,doc,medium,service-exact,describe_images,appstream.DescribeImages
appstream.image_builder,,appstream,DomainJoinInfo.DirectoryName,dotted,appstream.directory_config,,references,doc,medium,service-partial,describe_image_builders,appstream.DescribeImageBuilders
appstream.image_builder,,appstream,ImageArn,scalar,appstream.image,,references,doc,medium,service-exact,describe_image_builders,appstream.DescribeImageBuilders
appstream.image_builder,,appstream,IamRoleArn,scalar,iam.role,iam-role,assumes,doc,medium,well-known,describe_image_builders,appstream.DescribeImageBuilders
appstream.user,,appstream,StackName,scalar,appstream.stack,appstream-stack,references,doc,medium,service-exact,describe_user_stack_associations,appstream.DescribeUserStackAssociations
appsync.function_configuration,,appsync,dataSourceName,scalar,appsync.data_source,,references,doc,medium,service-exact,list_functions,appsync.ListFunctions
appsync.function_configuration,,appsync,functionConfiguration.dataSourceName,dotted,appsync.data_source,,references,doc,medium,service-exact,get_function,appsync.GetFunction
appsync.source_api_association,,appsync,mergedApiId,scalar,appsync.api,,references,doc,medium,service-partial,list_source_api_associations,appsync.ListSourceApiAssociations
appsync.source_api_association,,appsync,sourceApiAssociation.mergedApiId,dotted,appsync.api,,references,doc,medium,service-partial,get_source_api_association,appsync.GetSourceApiAssociation
appsync.source_api_association,,appsync,sourceApiAssociation.sourceApiId,dotted,appsync.api,,references,doc,medium,service-partial,get_source_api_association,appsync.GetSourceApiAssociation
appsync.source_api_association,,appsync,sourceApiId,scalar,appsync.api,,references,doc,medium,service-partial,list_source_api_associations,appsync.ListSourceApiAssociations
arc-zonal-shift.managed_resource,,arc-zonal-shift,resourceIdentifier,scalar,arc-zonal-shift.zonal_shift,,references,doc,medium,service-partial,get_managed_resource,arc-zonal-shift.GetManagedResource
arc-zonal-shift.managed_resource,,arc-zonal-shift,zonalShifts[].resourceIdentifier,list_dict,arc-zonal-shift.zonal_shift,,references,doc,medium,service-partial,list_managed_resources,arc-zonal-shift.ListManagedResources
artifact.report_metadata,,artifact,reportDetails.companyName,dotted,artifact.report,,references,doc,medium,service-exact,get_report_metadata,artifact.GetReportMetadata
artifact.report_metadata,,artifact,reportDetails.productName,dotted,artifact.report,,references,doc,medium,service-exact,get_report_metadata,artifact.GetReportMetadata
auditmanager.assessment_report,,auditmanager,assessmentId,scalar,auditmanager.assessment,,references,doc,medium,service-partial,list_assessment_reports,auditmanager.ListAssessmentReports
auditmanager.assessment_report,,auditmanager,assessmentName,scalar,auditmanager.assessment,,references,doc,medium,service-partial,list_assessment_reports,auditmanager.ListAssessmentReports
auditmanager.delegation,,auditmanager,assessmentId,scalar,auditmanager.assessment,,references,doc,medium,service-exact,get_delegations,auditmanager.GetDelegations
auditmanager.delegation,,auditmanager,assessmentName,scalar,auditmanager.assessment,,references,doc,medium,service-partial,get_delegations,auditmanager.GetDelegations
auditmanager.delegation,,auditmanager,controlSetName,scalar,auditmanager.control,,references,doc,medium,service-exact,get_delegations,auditmanager.GetDelegations
auditmanager.evidence_by_evidence_folder,,auditmanager,eventName,scalar,auditmanager.evidence,,references,doc,medium,service-exact,get_evidence_by_evidence_folder,auditmanager.GetEvidenceByEvidenceFolder
auditmanager.evidence_by_evidence_folder,,auditmanager,evidenceFolderId,scalar,auditmanager.evidence,,references,doc,medium,service-partial,get_evidence_by_evidence_folder,auditmanager.GetEvidenceByEvidenceFolder
auditmanager.evidence_folder,,auditmanager,evidenceFolder.assessmentId,dotted,auditmanager.assessment,,references,doc,medium,service-exact,get_evidence_folder,auditmanager.GetEvidenceFolder
auditmanager.evidence_folder,,auditmanager,evidenceFolder.controlId,dotted,auditmanager.control,,references,doc,medium,service-exact,get_evidence_folder,auditmanager.GetEvidenceFolder
auditmanager.evidence_folder,,auditmanager,evidenceFolder.controlName,dotted,auditmanager.control,,references,doc,medium,service-exact,get_evidence_folder,auditmanager.GetEvidenceFolder
auditmanager.evidence_folder,,auditmanager,evidenceFolder.controlSetId,dotted,auditmanager.control,,references,doc,medium,service-exact,get_evidence_folder,auditmanager.GetEvidenceFolder
auditmanager.evidence_folders_by_assessment,,auditmanager,assessmentId,scalar,auditmanager.assessment,,references,doc,medium,service-exact,get_evidence_folders_by_assessment,auditmanager.GetEvidenceFoldersByAssessment
auditmanager.evidence_folders_by_assessment,,auditmanager,controlId,scalar,auditmanager.control,,references,doc,medium,service-exact,get_evidence_folders_by_assessment,auditmanager.GetEvidenceFoldersByAssessment
auditmanager.evidence_folders_by_assessment,,auditmanager,controlName,scalar,auditmanager.control,,references,doc,medium,service-exact,get_evidence_folders_by_assessment,auditmanager.GetEvidenceFoldersByAssessment
auditmanager.evidence_folders_by_assessment,,auditmanager,controlSetId,scalar,auditmanager.control,,references,doc,medium,service-exact,get_evidence_folders_by_assessment,auditmanager.GetEvidenceFoldersByAssessment
auditmanager.evidence_folders_by_assessment_control,,auditmanager,assessmentId,scalar,auditmanager.assessment,,references,doc,medium,service-exact,get_evidence_folders_by_assessment_control,auditmanager.GetEvidenceFoldersByAssessmentControl
auditmanager.evidence_folders_by_assessment_control,,auditmanager,controlId,scalar,auditmanager.control,,references,doc,medium,service-exact,get_evidence_folders_by_assessment_control,auditmanager.GetEvidenceFoldersByAssessmentControl
auditmanager.evidence_folders_by_assessment_control,,auditmanager,controlName,scalar,auditmanager.control,,references,doc,medium,service-exact,get_evidence_folders_by_assessment_control,auditmanager.GetEvidenceFoldersByAssessmentControl
auditmanager.evidence_folders_by_assessment_control,,auditmanager,controlSetId,scalar,auditmanager.control,,references,doc,medium,service-exact,get_evidence_folders_by_assessment_control,auditmanager.GetEvidenceFoldersByAssessmentControl
auditmanager.notification,,auditmanager,assessmentId,scalar,auditmanager.assessment,,references,doc,medium,service-exact,list_notifications,auditmanager.ListNotifications
auditmanager.notification,,auditmanager,assessmentName,scalar,auditmanager.assessment,,references,doc,medium,service-partial,list_notifications,auditmanager.ListNotifications
auditmanager.notification,,auditmanager,controlSetId,scalar,auditmanager.control,,references,doc,medium,service-exact,list_notifications,auditmanager.ListNotifications
auditmanager.notification,,auditmanager,controlSetName,scalar,auditmanager.control,,references,doc,medium,service-exact,list_notifications,auditmanager.ListNotifications
autoscaling-plans.scaling_plan,,autoscaling-plans,ScalingInstructions[].CustomizedLoadMetricSpecification.Dimensions[].Name,list_nested,iot.dimension,,references,doc,medium,global-exact,describe_scaling_plans,autoscaling-plans.DescribeScalingPlans
autoscaling-plans.scaling_plan,,autoscaling-plans,ScalingInstructions[].TargetTrackingConfigurations[].CustomizedScalingMetricSpecification.Dimensions[].Name,list_nested,iot.dimension,,references,doc,medium,global-exact,describe_scaling_plans,autoscaling-plans.DescribeScalingPlans
autoscaling-plans.scaling_plan_resource,,autoscaling-plans,ScalingPlanName,scalar,autoscaling-plans.scaling_plan,,references,doc,medium,service-exact,describe_scaling_plan_resources,autoscaling-plans.DescribeScalingPlanResources
autoscaling-plans.scaling_plan_resource,,autoscaling-plans,ScalingPolicies[].TargetTrackingConfiguration.CustomizedScalingMetricSpecification.Dimensions[].Name,list_nested,iot.dimension,,references,doc,medium,global-exact,describe_scaling_plan_resources,autoscaling-plans.DescribeScalingPlanResources
autoscaling.auto_scaling_group,asg,autoscaling,LaunchConfigurationName,scalar,autoscaling.launch_configuration,launch-config,references,doc,medium,service-partial,describe_auto_scaling_groups,autoscaling.DescribeAutoScalingGroups
autoscaling.auto_scaling_group,asg,autoscaling,Instances[].InstanceId,list_dict,ec2.instance,ec2,references,doc,medium,leaf-hint,describe_auto_scaling_groups,autoscaling.DescribeAutoScalingGroups
autoscaling.auto_scaling_group,asg,autoscaling,Instances[].LaunchTemplate.LaunchTemplateId,list_dict,ec2.launch_template,launch-template-version,references,doc,medium,global-exact,describe_auto_scaling_groups,autoscaling.DescribeAutoScalingGroups
autoscaling.auto_scaling_group,asg,autoscaling,Instances[].LaunchTemplate.LaunchTemplateName,list_dict,ec2.launch_template,launch-template-version,references,doc,medium,global-exact,describe_auto_scaling_groups,autoscaling.DescribeAutoScalingGroups
autoscaling.auto_scaling_group,asg,autoscaling,LaunchTemplate.LaunchTemplateId,dotted,ec2.launch_template,launch-template-version,references,doc,medium,global-exact,describe_auto_scaling_groups,autoscaling.DescribeAutoScalingGroups
autoscaling.auto_scaling_group,asg,autoscaling,LaunchTemplate.LaunchTemplateName,dotted,ec2.launch_template,launch-template-version,references,doc,medium,global-exact,describe_auto_scaling_groups,autoscaling.DescribeAutoScalingGroups
autoscaling.auto_scaling_group,asg,autoscaling,MixedInstancesPolicy.LaunchTemplate.LaunchTemplateSpecification.LaunchTemplateId,dotted,ec2.launch_template,launch-template-version,references,doc,medium,global-exact,describe_auto_scaling_groups,autoscaling.DescribeAutoScalingGroups
autoscaling.auto_scaling_group,asg,autoscaling,MixedInstancesPolicy.LaunchTemplate.LaunchTemplateSpecification.LaunchTemplateName,dotted,ec2.launch_template,launch-template-version,references,doc,medium,global-exact,describe_auto_scaling_groups,autoscaling.DescribeAutoScalingGroups
autoscaling.auto_scaling_group,asg,autoscaling,MixedInstancesPolicy.LaunchTemplate.Overrides[].LaunchTemplateSpecification.LaunchTemplateId,list_dict,ec2.launch_template,launch-template-version,references,doc,medium,global-exact,describe_auto_scaling_groups,autoscaling.DescribeAutoScalingGroups
autoscaling.auto_scaling_group,asg,autoscaling,MixedInstancesPolicy.LaunchTemplate.Overrides[].LaunchTemplateSpecification.LaunchTemplateName,list_dict,ec2.launch_template,launch-template-version,references,doc,medium,global-exact,describe_auto_scaling_groups,autoscaling.DescribeAutoScalingGroups
autoscaling.launch_configuration,launch-config,autoscaling,BlockDeviceMappings[].VirtualName,list_dict,ec2.instance,ec2,references,doc,medium,well-known,describe_launch_configurations,autoscaling.DescribeLaunchConfigurations
autoscaling.launch_configuration,launch-config,autoscaling,KeyName,scalar,ec2.key_pair,,references,doc,medium,well-known,describe_launch_configurations,autoscaling.DescribeLaunchConfigurations
autoscaling.notification_configuration,,autoscaling,AutoScalingGroupName,scalar,autoscaling.auto_scaling_group,asg,references,doc,medium,service-exact,describe_notification_configurations,autoscaling.DescribeNotificationConfigurations
autoscaling.scaling_policy,scaling-policy,autoscaling,AutoScalingGroupName,scalar,autoscaling.auto_scaling_group,asg,references,doc,medium,service-exact,describe_policies,autoscaling.DescribePolicies
autoscaling.scaling_policy,scaling-policy,autoscaling,TargetTrackingConfiguration.CustomizedMetricSpecification.Dimensions[].Name,list_dict,iot.dimension,,references,doc,medium,global-exact,describe_policies,autoscaling.DescribePolicies
autoscaling.scheduled_action,,autoscaling,AutoScalingGroupName,scalar,autoscaling.auto_scaling_group,asg,references,doc,medium,service-exact,describe_scheduled_actions,autoscaling.DescribeScheduledActions
autoscaling.warm_pool,,autoscaling,InstanceId,scalar,ec2.instance,ec2,references,doc,medium,leaf-hint,describe_warm_pool,autoscaling.DescribeWarmPool
autoscaling.warm_pool,,autoscaling,LaunchTemplate.LaunchTemplateId,dotted,ec2.launch_template,launch-template-version,references,doc,medium,global-exact,describe_warm_pool,autoscaling.DescribeWarmPool
autoscaling.warm_pool,,autoscaling,LaunchTemplate.LaunchTemplateName,dotted,ec2.launch_template,launch-template-version,references,doc,medium,global-exact,describe_warm_pool,autoscaling.DescribeWarmPool
b2bi.capability,,b2bi,configuration.edi.transformerId,dotted,b2bi.transformer,,references,doc,medium,service-exact,get_capability,b2bi.GetCapability
b2bi.partnership,,b2bi,profileId,scalar,b2bi.profile,,references,doc,medium,service-exact,get_partnership,b2bi.GetPartnership
b2bi.profile,,b2bi,logGroupName,scalar,iot.logging,,references,doc,medium,global-exact,get_profile,b2bi.GetProfile
backup-gateway.hypervisor,,backup-gateway,Hypervisor.KmsKeyArn,dotted,kms.key,kms-key,encrypted-by,doc,medium,leaf-hint,get_hypervisor,backup-gateway.GetHypervisor
backup-gateway.hypervisor,,backup-gateway,KmsKeyArn,scalar,kms.key,kms-key,encrypted-by,doc,medium,leaf-hint,list_hypervisors,backup-gateway.ListHypervisors
backup.legal_hold,,backup,BackupVaultName,scalar,backup.backup_vault,backup-vault,references,doc,medium,service-exact,list_recovery_points_by_legal_hold,backup.ListRecoveryPointsByLegalHold
backup.report_plan,,backup,ReportDeliveryChannel.S3BucketName,dotted,s3.bucket,s3,references,doc,medium,well-known,list_report_plans,backup.ListReportPlans
backup.report_plan,,backup,ReportPlan.ReportDeliveryChannel.S3BucketName,dotted,s3.bucket,s3,references,doc,medium,well-known,describe_report_plan,backup.DescribeReportPlan
backup.restore_testing_selection,,backup,RestoreTestingPlanName,scalar,backup.restore_testing_plan,,references,doc,medium,service-exact,list_restore_testing_selections,backup.ListRestoreTestingSelections
backup.restore_testing_selection,,backup,RestoreTestingSelection.RestoreTestingPlanName,dotted,backup.restore_testing_plan,,references,doc,medium,service-exact,get_restore_testing_selection,backup.GetRestoreTestingSelection
batch.compute_environment,batch-compute,batch,computeResources.launchTemplate.launchTemplateId,dotted,ec2.launch_template,launch-template-version,references,doc,medium,global-exact,describe_compute_environments,batch.DescribeComputeEnvironments
batch.compute_environment,batch-compute,batch,computeResources.launchTemplate.launchTemplateName,dotted,ec2.launch_template,launch-template-version,references,doc,medium,global-exact,describe_compute_environments,batch.DescribeComputeEnvironments
batch.job,,batch,attempts[].container.networkInterfaces[].attachmentId,list_nested,ec2.network_interface,eni,attached-to,doc,medium,well-known,describe_jobs,batch.DescribeJobs
batch.job,,batch,container.networkInterfaces[].attachmentId,list_dict,ec2.network_interface,eni,attached-to,doc,medium,well-known,describe_jobs,batch.DescribeJobs
batch.job,,batch,ecsProperties.taskProperties[].containers[].networkInterfaces[].attachmentId,list_nested,ec2.network_interface,eni,attached-to,doc,medium,well-known,describe_jobs,batch.DescribeJobs
batch.job,,batch,eksProperties.podProperties.volumes[].secret.secretName,list_dict,secretsmanager.secret,secrets-manager,references,doc,medium,global-exact,describe_jobs,batch.DescribeJobs
batch.job_definition,batch-definition,batch,eksProperties.podProperties.volumes[].secret.secretName,list_dict,secretsmanager.secret,secrets-manager,references,doc,medium,global-exact,describe_job_definitions,batch.DescribeJobDefinitions
billingconductor.custom_line_item_version,,billingconductor,Name,scalar,billingconductor.custom_line_item,,references,doc,medium,service-exact,list_custom_line_item_versions,billingconductor.ListCustomLineItemVersions
billingconductor.resources_associated_to_custom_line_item,,billingconductor,Arn,scalar,servicecatalog-appregistry.associated_resource,,references,doc,medium,global-exact,list_resources_associated_to_custom_line_item,billingconductor.ListResourcesAssociatedToCustomLineItem
braket.quantum_task,,braket,deviceArn,scalar,braket.device,,references,doc,medium,service-exact,get_quantum_task,braket.GetQuantumTask
chatbot.microsoft_teams_user_identity,,chatbot,TeamsChannelId,scalar,chatbot.microsoft_teams_channel_configuration,,references,doc,medium,service-partial,list_microsoft_teams_user_identities,chatbot.ListMicrosoftTeamsUserIdentities
chatbot.slack_channel_configuration,,chatbot,SlackTeamId,scalar,chatbot.slack_workspace,,references,doc,medium,service-partial,describe_slack_channel_configurations,chatbot.DescribeSlackChannelConfigurations
chatbot.slack_channel_configuration,,chatbot,SlackTeamName,scalar,chatbot.slack_workspace,,references,doc,medium,service-exact,describe_slack_channel_configurations,chatbot.DescribeSlackChannelConfigurations
chatbot.slack_user_identity,,chatbot,SlackTeamId,scalar,chatbot.slack_workspace,,references,doc,medium,service-partial,describe_slack_user_identities,chatbot.DescribeSlackUserIdentities
chime-sdk-identity.app_instance_admin,,chime-sdk-identity,AppInstanceArn,scalar,chime-sdk-identity.app_instance,,references,doc,medium,service-exact,list_app_instance_admins,chime-sdk-identity.ListAppInstanceAdmins
chime-sdk-identity.app_instance_bot,,chime-sdk-identity,AppInstanceArn,scalar,chime-sdk-identity.app_instance,,references,doc,medium,service-exact,list_app_instance_bots,chime-sdk-identity.ListAppInstanceBots
chime-sdk-identity.app_instance_bot,,chime-sdk-identity,Name,scalar,chime-sdk-identity.app_instance,,references,doc,medium,service-partial,list_app_instance_bots,chime-sdk-identity.ListAppInstanceBots
chime-sdk-identity.app_instance_user,,chime-sdk-identity,AppInstanceArn,scalar,chime-sdk-identity.app_instance,,references,doc,medium,service-exact,list_app_instance_users,chime-sdk-identity.ListAppInstanceUsers
chime-sdk-identity.app_instance_user_endpoint,,chime-sdk-identity,AppInstanceUserArn,scalar,chime-sdk-identity.app_instance_user,,references,doc,medium,service-exact,list_app_instance_user_endpoints,chime-sdk-identity.ListAppInstanceUserEndpoints
